"TIME","Butterworth2","Bessel2","Chebychev2","Butterworth3","Bessel3","Chebychev3","Vin"
0,-0.00500224,-0.00500231,-0.00500284,0.153268,0.153904,0.439577,0
3.333333333e-006,0.00504061,0.00505413,0.00510239,0.162673,0.163367,0.448635,0.0104719
3.617287174e-006,0.00590312,0.00591789,0.00597069,0.163511,0.164212,0.449435,0.0113639
4.185194856e-006,0.00762517,0.00764266,0.00770551,0.165187,0.165901,0.451035,0.013148
5.321010219e-006,0.0110445,0.0110685,0.0111559,0.168541,0.16928,0.454234,0.0167163
7.592640946e-006,0.0177788,0.0178204,0.0179738,0.175102,0.175915,0.460357,0.0238528
1.21359024e-005,0.0308334,0.0309298,0.0312731,0.187648,0.188681,0.471649,0.0381257
2.122242531e-005,0.0553304,0.0556223,0.056498,0.21053,0.212281,0.490819,0.0666682
3.643420088e-005,0.0917643,0.0926702,0.0945341,0.242683,0.24642,0.514423,0.114451
5.773757364e-005,0.133887,0.136314,0.138852,0.276079,0.284066,0.53376,0.181348
8.381985031e-005,0.172803,0.178177,0.179038,0.301084,0.3162,0.541927,0.263206
0.0001107835688,0.200255,0.209875,0.205005,0.311687,0.335846,0.538195,0.347756
0.000150251883,0.221464,0.239126,0.217721,0.306399,0.345428,0.519819,0.471329
0.0002026192079,0.223696,0.254145,0.198384,0.274674,0.333442,0.483972,0.634829
0.000273585579,0.197235,0.245719,0.133361,0.211593,0.291451,0.431568,0.855268
0.0003414353654,0.155303,0.218828,0.0566779,0.149087,0.238962,0.388776,1.06444
0.0004050939358,0.111559,0.185252,-0.00834362,0.100228,0.188777,0.361609,1.25894
0.0004667115582,0.0715061,0.150429,-0.0535254,0.0675487,0.145177,0.350067,1.44529
0.0005354452629,0.033725,0.112988,-0.0786387,0.0494934,0.105988,0.354096,1.6506
0.0006023951634,0.00539146,0.0800785,-0.0802397,0.0483447,0.0784847,0.372062,1.84762
0.0006810985466,-0.0175681,0.0471832,-0.0633623,0.0618484,0.0589497,0.403738,2.07502
0.000751860163,-0.0301272,0.0230634,-0.0407502,0.0820647,0.0515387,0.435048,2.27516
0.0008188520572,-0.0366255,0.00465777,-0.0203713,0.103664,0.0515448,0.461451,2.4605
0.000890206628,-0.0396095,-0.0108278,-0.00505462,0.125371,0.0569751,0.481375,2.65311
0.000966381632,-0.0401366,-0.0235157,0.00197122,0.144204,0.0667233,0.490562,2.85283
0.001049330999,-0.0392952,-0.0338451,0.000186012,0.158096,0.0796753,0.48665,3.06287
0.001124298826,-0.0382607,-0.0408427,-0.0068289,0.164733,0.0919495,0.473314,3.24556
0.001197506815,-0.037548,-0.0461357,-0.015384,0.166622,0.103431,0.45526,3.41702
0.001270191724,-0.0373636,-0.0503313,-0.0229955,0.16524,0.113714,0.43666,3.5801
0.001346418156,-0.0377655,-0.0539575,-0.0284349,0.161753,0.122946,0.420539,3.7431
0.001423282453,-0.0387032,-0.0570832,-0.0309209,0.157441,0.130523,0.410643,3.89878
0.001514758737,-0.0402911,-0.0603584,-0.0308438,0.15269,0.137385,0.408549,4.07216
0.00161169468,-0.0422824,-0.0635051,-0.0290159,0.149036,0.142422,0.415995,4.24121
0.001730667668,-0.0448064,-0.0670686,-0.0268853,0.146882,0.146182,0.431918,4.42713
0.001876877223,-0.0476711,-0.0711001,-0.0263062,0.146971,0.148377,0.449413,4.62165
0.002021439856,-0.0501163,-0.0747682,-0.0276925,0.14859,0.149011,0.456425,4.77566
0.002148132485,-0.0518992,-0.0776928,-0.0295148,0.150284,0.148998,0.453256,4.8783
0.002284491042,-0.0533712,-0.0803995,-0.031017,0.151772,0.148984,0.444199,4.95423
0.002430077404,-0.0544498,-0.0826981,-0.0316621,0.152745,0.149253,0.434815,4.99518
0.002596752507,-0.0551344,-0.0845395,-0.0315154,0.153233,0.149995,0.430443,4.99076
0.002766322698,-0.0552868,-0.0855354,-0.030988,0.153422,0.151132,0.433248,4.93016
0.002955499605,-0.0548334,-0.085594,-0.0303341,0.153633,0.15268,0.439727,4.79662
0.003188101222,-0.0534284,-0.0842122,-0.029401,0.154124,0.154699,0.444319,4.53992
0.00341334709,-0.0510516,-0.0812368,-0.0279772,0.154843,0.156727,0.443448,4.19902
0.003688700794,-0.0470047,-0.0756708,-0.0255861,0.155722,0.159016,0.439971,3.66905
0.003979356595,-0.0413442,-0.0675111,-0.0222831,0.15655,0.161271,0.438641,2.99114
0.004312689929,-0.0334204,-0.0556875,-0.0178461,0.157273,0.163516,0.440034,2.09276
0.004646023262,-0.0239373,-0.0412849,-0.0126214,0.157964,0.165596,0.441427,1.10291
0.004979356595,-0.0133926,-0.0249473,-0.00696611,0.158454,0.167266,0.441464,0.0648513
0.005312689929,-0.0025256,-0.00769015,-0.00133763,0.158575,0.168191,0.440858,-0.976037
0.005646023262,0.0081305,0.00960516,0.00406108,0.158404,0.168329,0.440561,-1.97427
0.005979356595,0.0181653,0.0261917,0.00907477,0.158039,0.167783,0.440585,-2.88621
0.006312689929,0.0271879,0.0413861,0.0134964,0.157509,0.166652,0.440608,-3.67202
0.006646023262,0.0348164,0.0545508,0.0171138,0.156806,0.165003,0.440394,-4.29734
0.006979356595,0.0407119,0.0651185,0.0197595,0.155942,0.162892,0.440092,-4.73484
0.007312689929,0.0446104,0.0726261,0.0213204,0.154952,0.160394,0.43979,-4.96541
0.007646023262,0.0463392,0.0767428,0.0217315,0.153876,0.157608,0.439537,-4.97897
0.007979356595,0.0458232,0.0772869,0.020975,0.152801,0.154656,0.439284,-4.77492
0.008312689929,0.0430857,0.0742344,0.0190833,0.151725,0.151669,0.439031,-4.36219
0.008646023262,0.0382467,0.0677185,0.0161386,0.150724,0.148779,0.438779,-3.75881
0.008979356595,0.0315176,0.0580243,0.0122699,0.149833,0.146113,0.4386,-2.99114
0.009312689929,0.0231924,0.0455756,0.00764639,0.149093,0.143788,0.438422,-2.09276
0.009646023262,0.013635,0.0309163,0.00247002,0.148534,0.141906,0.438344,-1.10291
0.009979356595,0.00326304,0.0146872,-0.00303295,0.148183,0.140548,0.438267,-0.0648513
0.01031268993,-0.00747016,-0.00240233,-0.00862201,0.148054,0.139774,0.438301,0.976037
0.01064602326,-0.0180955,-0.0196055,-0.0140529,0.148153,0.139617,0.438335,1.97427
0.0109793566,-0.0281486,-0.0361705,-0.0190883,0.148475,0.140084,0.438478,2.88621
0.01131268993,-0.0371901,-0.0513733,-0.023508,0.149007,0.141156,0.43862,3.67202
0.01164602326,-0.0448248,-0.0645494,-0.027119,0.149725,0.142785,0.438845,4.29734
0.0119793566,-0.0507191,-0.0751231,-0.0297634,0.150598,0.1449,0.43907,4.73484
0.01231268993,-0.0546154,-0.0826321,-0.0313257,0.151588,0.147408,0.439338,4.96541
0.01264602326,-0.0563433,-0.0867483,-0.0317375,0.152662,0.1502,0.439605,4.97897
0.0129793566,-0.0558273,-0.0872919,-0.0309809,0.153736,0.153154,0.439873,4.77492
0.01331268993,-0.0530901,-0.084239,-0.0290889,0.15481,0.156141,0.44014,4.36219
0.01364602326,-0.0482512,-0.0777231,-0.0261442,0.155812,0.15903,0.440358,3.75881
0.0139793566,-0.0415221,-0.0680289,-0.0222756,0.156703,0.161695,0.440575,2.99114
0.01431268993,-0.0331969,-0.0555801,-0.0176521,0.157443,0.16402,0.440706,2.09276
0.01464602326,-0.0236395,-0.0409209,-0.0124757,0.158002,0.165902,0.440838,1.10291
0.0149793566,-0.0132675,-0.0246919,-0.00697272,0.158353,0.16726,0.44086,0.0648513
0.01531268993,-0.0025343,-0.00760229,-0.00138366,0.158482,0.168035,0.440882,-0.976037
0.01564602326,0.00809104,0.00960092,0.00404723,0.158383,0.168192,0.440792,-1.97427
0.0159793566,0.0181441,0.0261659,0.00908259,0.158061,0.167724,0.440701,-2.88621
0.01631268993,0.0271856,0.0413687,0.0135024,0.157529,0.166652,0.440513,-3.67202
0.01664602326,0.0348204,0.0545448,0.0171133,0.156811,0.165024,0.440326,-4.29734
0.0169793566,0.0407147,0.0651185,0.0197577,0.155938,0.162909,0.440063,-4.73484
0.01731268993,0.0446109,0.0726275,0.02132,0.154948,0.160401,0.439801,-4.96541
0.01764602326,0.0463388,0.0767437,0.0217318,0.153874,0.157608,0.439539,-4.97897
0.0179793566,0.0458229,0.0772873,0.0209752,0.1528,0.154654,0.439277,-4.77492
0.01831268993,0.0430856,0.0742344,0.0190832,0.151726,0.151667,0.439014,-4.36219
0.01864602326,0.0382467,0.0677184,0.0161386,0.150724,0.148778,0.438797,-3.75881
0.0189793566,0.0315176,0.0580243,0.0122699,0.149833,0.146113,0.438579,-2.99114
0.01931268993,0.0231924,0.0455755,0.0076464,0.149092,0.143788,0.438448,-2.09276
0.01964602326,0.013635,0.0309163,0.00247002,0.148534,0.141906,0.438317,-1.10291
0.0199793566,0.00326304,0.0146873,-0.00303294,0.148183,0.140548,0.438295,-0.0648513
0.02031268993,-0.00747017,-0.00240233,-0.00862201,0.148054,0.139774,0.438272,0.976037
0.02064602326,-0.0180955,-0.0196055,-0.0140529,0.148153,0.139617,0.438363,1.97427
0.0209793566,-0.0281486,-0.0361705,-0.0190883,0.148475,0.140084,0.438453,2.88621
0.02131268993,-0.0371901,-0.0513733,-0.023508,0.149007,0.141156,0.438641,3.67202
0.02164602326,-0.0448248,-0.0645494,-0.027119,0.149725,0.142785,0.438829,4.29734
0.0219793566,-0.0507191,-0.0751231,-0.0297634,0.150598,0.1449,0.439091,4.73484
0.02231268993,-0.0546154,-0.0826321,-0.0313257,0.151588,0.147408,0.439353,4.96541
0.02264602326,-0.0563433,-0.0867483,-0.0317375,0.152662,0.1502,0.439616,4.97897
0.0229793566,-0.0558273,-0.0872919,-0.0309809,0.153736,0.153154,0.439878,4.77492
0.02331268993,-0.0530901,-0.084239,-0.0290889,0.15481,0.156141,0.44014,4.36219
0.02364602326,-0.0482512,-0.0777231,-0.0261443,0.155812,0.15903,0.440358,3.75881
0.0239793566,-0.0415221,-0.0680289,-0.0222756,0.156703,0.161695,0.440575,2.99114
0.02431268993,-0.0331969,-0.0555801,-0.0176521,0.157443,0.16402,0.440706,2.09276
0.02464602326,-0.0236395,-0.0409209,-0.0124757,0.158002,0.165902,0.440838,1.10291
0.0249793566,-0.0132675,-0.0246919,-0.00697273,0.158353,0.16726,0.44086,0.0648513
0.02531268993,-0.0025343,-0.00760229,-0.00138366,0.158482,0.168035,0.440882,-0.976037
0.02564602326,0.00809104,0.00960091,0.00404724,0.158383,0.168192,0.440792,-1.97427
0.0259793566,0.0181441,0.0261659,0.00908259,0.158061,0.167724,0.440701,-2.88621
0.02631268993,0.0271856,0.0413687,0.0135023,0.157529,0.166652,0.440513,-3.67202
0.02664602326,0.0348204,0.0545448,0.0171133,0.156811,0.165024,0.440326,-4.29734
0.0269793566,0.0407147,0.0651185,0.0197578,0.155938,0.162909,0.440063,-4.73484
0.02731268993,0.0446109,0.0726275,0.02132,0.154948,0.160401,0.439801,-4.96541
0.02764602326,0.0463388,0.0767437,0.0217318,0.153874,0.157608,0.439539,-4.97897
0.0279793566,0.0458229,0.0772873,0.0209752,0.1528,0.154654,0.439277,-4.77492
0.02831268993,0.0430856,0.0742344,0.0190832,0.151726,0.151667,0.439015,-4.36219
0.02864602326,0.0382467,0.0677184,0.0161386,0.150724,0.148778,0.438797,-3.75881
0.0289793566,0.0315176,0.0580243,0.0122699,0.149833,0.146113,0.438579,-2.99114
0.02931268993,0.0231924,0.0455755,0.0076464,0.149092,0.143788,0.438448,-2.09276
0.02964602326,0.013635,0.0309163,0.00247003,0.148534,0.141906,0.438317,-1.10291
0.0299793566,0.00326303,0.0146873,-0.00303295,0.148183,0.140548,0.438295,-0.0648513
0.03031268993,-0.00747016,-0.00240232,-0.00862202,0.148054,0.139774,0.438272,0.976037
0.03064602326,-0.0180955,-0.0196055,-0.0140529,0.148153,0.139617,0.438363,1.97427
0.0309793566,-0.0281486,-0.0361705,-0.0190883,0.148475,0.140084,0.438453,2.88621
0.03131268993,-0.0371901,-0.0513733,-0.023508,0.149007,0.141156,0.438641,3.67202
0.03164602326,-0.0448248,-0.0645494,-0.027119,0.149725,0.142785,0.438829,4.29734
0.0319793566,-0.0507191,-0.0751231,-0.0297634,0.150598,0.1449,0.439091,4.73484
0.03231268993,-0.0546154,-0.0826321,-0.0313257,0.151588,0.147408,0.439353,4.96541
0.03264602326,-0.0563433,-0.0867483,-0.0317375,0.152662,0.1502,0.439616,4.97897
0.0329793566,-0.0558273,-0.0872919,-0.0309809,0.153736,0.153154,0.439878,4.77492
0.03331268993,-0.0530901,-0.084239,-0.0290889,0.15481,0.156141,0.44014,4.36219
0.03364602326,-0.0482512,-0.0777231,-0.0261442,0.155812,0.15903,0.440358,3.75881
0.0339793566,-0.0415221,-0.0680289,-0.0222756,0.156703,0.161695,0.440575,2.99114
0.03431268993,-0.0331969,-0.0555801,-0.0176521,0.157443,0.16402,0.440706,2.09276
0.03464602326,-0.0236395,-0.0409209,-0.0124757,0.158002,0.165902,0.440838,1.10291
0.0349793566,-0.0132675,-0.0246919,-0.00697272,0.158353,0.16726,0.44086,0.0648513
0.03531268993,-0.0025343,-0.00760229,-0.00138366,0.158482,0.168035,0.440882,-0.976037
0.03564602326,0.00809104,0.00960092,0.00404723,0.158383,0.168192,0.440792,-1.97427
0.0359793566,0.0181441,0.0261659,0.00908259,0.158061,0.167724,0.440701,-2.88621
0.03631268993,0.0271856,0.0413687,0.0135024,0.157529,0.166652,0.440513,-3.67202
0.03664602326,0.0348204,0.0545448,0.0171133,0.156811,0.165024,0.440326,-4.29734
0.0369793566,0.0407147,0.0651185,0.0197577,0.155938,0.162909,0.440063,-4.73484
0.03731268993,0.0446109,0.0726275,0.02132,0.154948,0.160401,0.439801,-4.96541
0.03764602326,0.0463388,0.0767437,0.0217318,0.153874,0.157608,0.439539,-4.97897
0.0379793566,0.0458229,0.0772873,0.0209752,0.1528,0.154654,0.439277,-4.77492
0.03831268993,0.0430856,0.0742344,0.0190832,0.151726,0.151667,0.439014,-4.36219
0.03864602326,0.0382467,0.0677184,0.0161386,0.150724,0.148778,0.438797,-3.75881
0.0389793566,0.0315176,0.0580243,0.0122699,0.149833,0.146113,0.438579,-2.99114
0.03931268993,0.0231924,0.0455755,0.0076464,0.149092,0.143788,0.438448,-2.09276
0.03964602326,0.013635,0.0309163,0.00247002,0.148534,0.141906,0.438317,-1.10291
0.0399793566,0.00326304,0.0146873,-0.00303294,0.148183,0.140548,0.438295,-0.0648513
0.04031268993,-0.00747017,-0.00240233,-0.00862201,0.148054,0.139774,0.438272,0.976037
0.04064602326,-0.0180955,-0.0196055,-0.0140529,0.148153,0.139617,0.438363,1.97427
0.0409793566,-0.0281486,-0.0361705,-0.0190883,0.148475,0.140084,0.438453,2.88621
0.04131268993,-0.0371901,-0.0513733,-0.023508,0.149007,0.141156,0.438641,3.67202
0.04164602326,-0.0448248,-0.0645494,-0.027119,0.149725,0.142785,0.438829,4.29734
0.0419793566,-0.0507191,-0.0751231,-0.0297634,0.150598,0.1449,0.439091,4.73484
0.04231268993,-0.0546154,-0.0826321,-0.0313257,0.151588,0.147408,0.439353,4.96541
0.04264602326,-0.0563433,-0.0867483,-0.0317375,0.152662,0.1502,0.439616,4.97897
0.0429793566,-0.0558273,-0.0872919,-0.0309809,0.153736,0.153154,0.439878,4.77492
0.04331268993,-0.0530901,-0.084239,-0.0290889,0.15481,0.156141,0.44014,4.36219
0.04364602326,-0.0482512,-0.0777231,-0.0261443,0.155812,0.15903,0.440358,3.75881
0.0439793566,-0.0415221,-0.0680289,-0.0222756,0.156703,0.161695,0.440575,2.99114
0.04431268993,-0.0331969,-0.0555801,-0.0176521,0.157443,0.16402,0.440706,2.09276
0.04464602326,-0.0236395,-0.0409209,-0.0124757,0.158002,0.165902,0.440838,1.10291
0.0449793566,-0.0132675,-0.0246919,-0.00697273,0.158353,0.16726,0.44086,0.0648513
0.04531268993,-0.0025343,-0.00760229,-0.00138366,0.158482,0.168035,0.440882,-0.976037
0.04564602326,0.00809104,0.00960091,0.00404724,0.158383,0.168192,0.440792,-1.97427
0.0459793566,0.0181441,0.0261659,0.00908259,0.158061,0.167724,0.440701,-2.88621
0.04631268993,0.0271856,0.0413687,0.0135023,0.157529,0.166652,0.440513,-3.67202
0.04664602326,0.0348204,0.0545448,0.0171133,0.156811,0.165024,0.440326,-4.29734
0.0469793566,0.0407147,0.0651185,0.0197578,0.155938,0.162909,0.440063,-4.73484
0.04731268993,0.0446109,0.0726275,0.02132,0.154948,0.160401,0.439801,-4.96541
0.04764602326,0.0463388,0.0767437,0.0217318,0.153874,0.157608,0.439539,-4.97897
0.0479793566,0.0458229,0.0772873,0.0209752,0.1528,0.154654,0.439277,-4.77492
0.04831268993,0.0430856,0.0742344,0.0190832,0.151726,0.151667,0.439014,-4.36219
0.04864602326,0.0382467,0.0677184,0.0161386,0.150724,0.148778,0.438797,-3.75881
0.0489793566,0.0315176,0.0580243,0.0122699,0.149833,0.146113,0.438579,-2.99114
0.04931268993,0.0231924,0.0455755,0.0076464,0.149092,0.143788,0.438448,-2.09276
0.04964602326,0.013635,0.0309163,0.00247003,0.148534,0.141906,0.438317,-1.10291
0.0499793566,0.00326303,0.0146873,-0.00303295,0.148183,0.140548,0.438295,-0.0648513
0.05031268993,-0.00747016,-0.00240232,-0.00862202,0.148054,0.139774,0.438272,0.976037
0.05064602326,-0.0180955,-0.0196055,-0.0140529,0.148153,0.139617,0.438363,1.97427
0.0509793566,-0.0281486,-0.0361705,-0.0190883,0.148475,0.140084,0.438453,2.88621
0.05131268993,-0.0371901,-0.0513733,-0.023508,0.149007,0.141156,0.438641,3.67202
0.05164602326,-0.0448248,-0.0645494,-0.027119,0.149725,0.142785,0.438829,4.29734
0.0519793566,-0.0507191,-0.0751231,-0.0297634,0.150598,0.1449,0.439091,4.73484
0.05231268993,-0.0546154,-0.0826321,-0.0313257,0.151588,0.147408,0.439353,4.96541
0.05264602326,-0.0563433,-0.0867483,-0.0317375,0.152662,0.1502,0.439616,4.97897
0.0529793566,-0.0558273,-0.0872919,-0.0309809,0.153736,0.153154,0.439878,4.77492
0.05331268993,-0.0530901,-0.084239,-0.0290889,0.15481,0.156141,0.44014,4.36219
0.05364602326,-0.0482512,-0.0777231,-0.0261442,0.155812,0.15903,0.440358,3.75881
0.0539793566,-0.0415221,-0.0680289,-0.0222756,0.156703,0.161695,0.440575,2.99114
0.05431268993,-0.0331969,-0.0555801,-0.0176521,0.157443,0.16402,0.440706,2.09276
0.05464602326,-0.0236395,-0.0409209,-0.0124757,0.158002,0.165902,0.440838,1.10291
0.0549793566,-0.0132675,-0.0246919,-0.00697272,0.158353,0.16726,0.44086,0.0648513
0.05531268993,-0.0025343,-0.00760229,-0.00138366,0.158482,0.168035,0.440882,-0.976037
0.05564602326,0.00809104,0.00960092,0.00404723,0.158383,0.168192,0.440792,-1.97427
0.0559793566,0.0181441,0.0261659,0.00908259,0.158061,0.167724,0.440701,-2.88621
0.05631268993,0.0271856,0.0413687,0.0135024,0.157529,0.166652,0.440513,-3.67202
0.05664602326,0.0348204,0.0545448,0.0171133,0.156811,0.165024,0.440326,-4.29734
0.0569793566,0.0407147,0.0651185,0.0197577,0.155938,0.162909,0.440063,-4.73484
0.05731268993,0.0446109,0.0726275,0.02132,0.154948,0.160401,0.439801,-4.96541
0.05764602326,0.0463388,0.0767437,0.0217318,0.153874,0.157608,0.439539,-4.97897
0.0579793566,0.0458229,0.0772873,0.0209752,0.1528,0.154654,0.439277,-4.77492
0.05831268993,0.0430856,0.0742344,0.0190832,0.151726,0.151667,0.439014,-4.36219
0.05864602326,0.0382467,0.0677184,0.0161386,0.150724,0.148778,0.438797,-3.75881
0.0589793566,0.0315176,0.0580243,0.0122699,0.149833,0.146113,0.438579,-2.99114
0.05931268993,0.0231924,0.0455755,0.0076464,0.149092,0.143789,0.438448,-2.09276
0.05964602326,0.013635,0.0309163,0.00247002,0.148534,0.141906,0.438317,-1.10291
0.0599793566,0.00326304,0.0146873,-0.00303294,0.148183,0.140548,0.438295,-0.0648513
0.06031268993,-0.00747017,-0.00240233,-0.00862201,0.148054,0.139774,0.438272,0.976037
0.06064602326,-0.0180955,-0.0196055,-0.0140529,0.148153,0.139617,0.438363,1.97427
0.0609793566,-0.0281486,-0.0361705,-0.0190883,0.148475,0.140084,0.438453,2.88621
0.06131268993,-0.0371901,-0.0513733,-0.023508,0.149007,0.141156,0.438641,3.67202
0.06164602326,-0.0448248,-0.0645494,-0.027119,0.149725,0.142785,0.438829,4.29734
0.0619793566,-0.0507191,-0.0751231,-0.0297634,0.150598,0.1449,0.439091,4.73484
0.06231268993,-0.0546154,-0.0826321,-0.0313257,0.151588,0.147408,0.439353,4.96541
0.06264602326,-0.0563433,-0.0867483,-0.0317375,0.152662,0.1502,0.439616,4.97897
0.0629793566,-0.0558273,-0.0872919,-0.0309809,0.153736,0.153154,0.439878,4.77492
0.06331268993,-0.0530901,-0.084239,-0.0290889,0.15481,0.156141,0.44014,4.36219
0.06364602326,-0.0482512,-0.0777231,-0.0261443,0.155812,0.15903,0.440358,3.75881
0.0639793566,-0.0415221,-0.0680289,-0.0222756,0.156703,0.161695,0.440575,2.99114
0.06431268993,-0.0331969,-0.0555801,-0.0176521,0.157443,0.16402,0.440706,2.09276
0.06464602326,-0.0236395,-0.0409209,-0.0124757,0.158002,0.165902,0.440838,1.10291
0.0649793566,-0.0132675,-0.0246919,-0.00697273,0.158353,0.16726,0.44086,0.0648513
0.06531268993,-0.0025343,-0.00760229,-0.00138366,0.158482,0.168035,0.440882,-0.976037
0.06564602326,0.00809104,0.00960091,0.00404724,0.158383,0.168192,0.440792,-1.97427
0.0659793566,0.0181441,0.0261659,0.00908259,0.158061,0.167724,0.440701,-2.88621
0.06631268993,0.0271856,0.0413687,0.0135023,0.157529,0.166652,0.440513,-3.67202
0.06664602326,0.0348204,0.0545448,0.0171133,0.156811,0.165024,0.440326,-4.29734
0.0669793566,0.0407147,0.0651185,0.0197578,0.155938,0.162909,0.440063,-4.73484
0.06731268993,0.0446109,0.0726275,0.02132,0.154948,0.160401,0.439801,-4.96541
0.06764602326,0.0463388,0.0767437,0.0217318,0.153874,0.157608,0.439539,-4.97897
0.0679793566,0.0458229,0.0772873,0.0209752,0.1528,0.154654,0.439277,-4.77492
0.06831268993,0.0430856,0.0742344,0.0190832,0.151726,0.151667,0.439014,-4.36219
0.06864602326,0.0382467,0.0677184,0.0161386,0.150724,0.148778,0.438797,-3.75881
0.0689793566,0.0315176,0.0580243,0.0122699,0.149833,0.146113,0.438579,-2.99114
0.06931268993,0.0231924,0.0455755,0.0076464,0.149092,0.143789,0.438448,-2.09276
0.06964602326,0.013635,0.0309163,0.00247003,0.148534,0.141906,0.438317,-1.10291
0.0699793566,0.00326303,0.0146873,-0.00303295,0.148183,0.140548,0.438295,-0.0648513
0.07031268993,-0.00747016,-0.00240232,-0.00862202,0.148054,0.139774,0.438272,0.976037
0.07064602326,-0.0180955,-0.0196055,-0.0140529,0.148153,0.139617,0.438363,1.97427
0.0709793566,-0.0281486,-0.0361705,-0.0190883,0.148475,0.140084,0.438453,2.88621
0.07131268993,-0.0371901,-0.0513733,-0.023508,0.149007,0.141156,0.438641,3.67202
0.07164602326,-0.0448248,-0.0645494,-0.027119,0.149725,0.142785,0.438829,4.29734
0.0719793566,-0.0507191,-0.0751231,-0.0297634,0.150598,0.1449,0.439091,4.73484
0.07231268993,-0.0546154,-0.0826321,-0.0313257,0.151588,0.147408,0.439353,4.96541
0.07264602326,-0.0563433,-0.0867483,-0.0317375,0.152662,0.1502,0.439616,4.97897
0.0729793566,-0.0558273,-0.0872919,-0.0309809,0.153736,0.153154,0.439878,4.77492
0.07331268993,-0.0530901,-0.084239,-0.0290889,0.15481,0.156141,0.44014,4.36219
0.07364602326,-0.0482512,-0.0777231,-0.0261442,0.155812,0.15903,0.440358,3.75881
0.0739793566,-0.0415221,-0.0680289,-0.0222756,0.156703,0.161695,0.440575,2.99114
0.07431268993,-0.0331969,-0.0555801,-0.0176521,0.157443,0.16402,0.440706,2.09276
0.07464602326,-0.0236395,-0.0409209,-0.0124757,0.158002,0.165902,0.440838,1.10291
0.0749793566,-0.0132675,-0.0246919,-0.00697272,0.158353,0.16726,0.44086,0.0648513
0.07531268993,-0.0025343,-0.00760229,-0.00138366,0.158482,0.168035,0.440882,-0.976037
0.07564602326,0.00809104,0.00960092,0.00404723,0.158383,0.168192,0.440792,-1.97427
0.0759793566,0.0181441,0.0261659,0.00908259,0.158061,0.167724,0.440701,-2.88621
0.07631268993,0.0271856,0.0413687,0.0135024,0.157529,0.166652,0.440513,-3.67202
