"TIME","Butterworth2","Bessel2","Chebychev2","Butterworth3","Bessel3","Chebychev3","Vin"
0,-0.00500224,-0.00500231,-0.00500284,0.153268,0.153904,0.439577,0
3.333333333e-008,-0.000228391,-0.000231291,-0.00021611,0.153726,0.15436,0.440053,0.0104717
3.543563345e-008,9.05722e-005,8.75224e-005,0.000103544,0.153755,0.154389,0.440083,0.0111322
3.964023369e-008,0.000768852,0.000765565,0.000782941,0.15383,0.154464,0.440143,0.012453
4.804943417e-008,0.00229729,0.00229378,0.00231256,0.153981,0.154614,0.440307,0.0150948
6.486783513e-008,0.00590938,0.00590612,0.00592414,0.154447,0.155078,0.440781,0.0203783
9.704092365e-008,0.0141414,0.0141399,0.0141504,0.156051,0.156678,0.442404,0.0304856
1.380370209e-007,0.025991,0.0259923,0.025991,0.159692,0.160315,0.446062,0.0433646
1.916585886e-007,0.0424323,0.0424375,0.0424235,0.167198,0.16782,0.453569,0.0602099
2.667772203e-007,0.0659522,0.0659625,0.0659376,0.182082,0.182714,0.468408,0.0838053
3.703876219e-007,0.0984856,0.098503,0.0984721,0.208169,0.208827,0.494363,0.11635
5.226269958e-007,0.146162,0.146192,0.146165,0.252233,0.252947,0.538137,0.164145
7.804267062e-007,0.226633,0.22669,0.226699,0.331518,0.332355,0.616739,0.24508
1.226375686e-006,0.365218,0.365337,0.365497,0.470016,0.47114,0.753547,0.384896
2.065836457e-006,0.623727,0.624021,0.624763,0.727332,0.729256,1.00598,0.647181
3.744757998e-006,1.12897,1.12985,1.13285,1.22734,1.23186,1.48982,1.16563
7.078091331e-006,2.06691,2.06986,2.08109,2.14758,2.16102,2.35559,2.15107
1.041142466e-005,2.88496,2.89119,2.91464,2.94,2.96692,3.06877,3.0425
1.3744758e-005,3.54774,3.55839,3.59676,3.57068,3.61498,3.60199,3.80096
1.707809133e-005,4.02666,4.04275,4.09733,4.01272,4.07745,3.93563,4.3933
2.041142466e-005,4.30121,4.32363,4.39424,4.24766,4.33491,4.05885,4.79363
2.3744758e-005,4.35986,4.38924,4.47429,4.26616,4.37692,3.96982,4.98446
2.707809133e-005,4.20048,4.23723,4.3338,4.06829,4.20243,3.67574,4.95744
3.041142466e-005,3.83048,3.87475,3.97875,3.66355,3.81983,3.19255,4.71376
3.3744758e-005,3.26647,3.31812,3.42452,3.07045,3.24656,2.54425,4.26406
3.707809133e-005,2.53356,2.59217,2.69521,2.31571,2.50836,1.76182,3.62801
4.041142466e-005,1.66422,1.72909,1.82263,1.4331,1.63818,0.881975,2.83339
4.3744758e-005,0.696877,0.767095,0.844843,0.461972,0.674711,-0.0545009,1.91494
4.707809133e-005,-0.325744,-0.251321,-0.195461,-0.554466,-0.339278,-1.00449,0.912797
5.041142466e-005,-1.35852,-1.28119,-1.25283,-1.57102,-1.35882,-1.92441,-0.129238
5.3744758e-005,-2.35587,-2.27704,-2.28106,-2.54251,-2.3387,-2.77212,-1.16563
5.707809133e-005,-3.27379,-3.19492,-3.23519,-3.4257,-3.23546,-3.50877,-2.15107
6.041142466e-005,-4.07173,-3.99428,-4.07347,-4.18126,-4.00927,-4.10046,-3.0425
6.3744758e-005,-4.71439,-4.63975,-4.75921,-4.77542,-4.62569,-4.51973,-3.80096
6.707809133e-005,-5.17328,-5.10271,-5.26236,-5.18148,-5.05718,-4.74673,-4.3933
7.041142466e-005,-5.42791,-5.3625,-5.56084,-5.38096,-5.28425,-4.77012,-4.79363
7.3744758e-005,-5.46674,-5.40737,-5.64147,-5.36441,-5.29639,-4.58751,-4.98446
7.707809133e-005,-5.28767,-5.23495,-5.5006,-5.13181,-5.09243,-4.20559,-4.95744
8.041142466e-005,-4.8981,-4.85238,-5.14423,-4.69259,-4.6807,-3.63983,-4.71376
8.3744758e-005,-4.31466,-4.27599,-4.58776,-4.06522,-4.07858,-2.91382,-4.26406
8.707809133e-005,-3.56244,-3.53057,-3.85532,-3.27644,-3.31181,-2.05823,-3.62801
9.041142466e-005,-2.67391,-2.64834,-2.9787,-2.36004,-2.41339,-1.1095,-2.83339
