"TIME","WideBPF","Vin"
0,-0.00500652,0
3.686389412e-007,-0.00496873,0.0109866
4.031860118e-007,-0.00496591,0.0120162
4.722801529e-007,-0.00496254,0.0140754
6.104684351e-007,-0.00496056,0.0181939
1.222047972e-006,-0.00495879,0.0364209
1.711487114e-006,-0.00495368,0.0510077
2.335095479e-006,-0.0049408,0.0695903
3.199207451e-006,-0.00490708,0.0953395
4.34508985e-006,-0.00482382,0.129485
5.918305359e-006,-0.00461316,0.17634
8.050798842e-006,-0.00409087,0.239851
1.099156626e-005,-0.00278159,0.327355
1.404507766e-005,-0.00052017,0.418106
1.796971857e-005,0.00405312,0.53454
2.249166677e-005,0.0120815,0.668328
2.828499461e-005,0.0273961,0.839008
3.53990668e-005,0.0549319,1.04721
4.454594868e-005,0.105824,1.31209
5.618974657e-005,0.196987,1.64352
6.934398076e-005,0.335034,2.00836
8.673837285e-005,0.569069,2.47148
0.0001110806881,0.971207,3.07396
0.0001462172286,1.62399,3.82668
0.0001813537692,2.26255,4.41215
0.0002164903098,2.79408,4.80479
0.0002516268504,3.14972,4.98743
0.000286763391,3.28902,4.9521
0.0003218999316,3.19762,4.70035
0.0003570364722,2.882,4.24316
0.0003921730128,2.36379,3.60053
0.0004273095534,1.67505,2.80053
0.000462446094,0.854559,1.87814
0.0004975826346,-0.0547131,0.873671
0.0005327191752,-1.00759,-0.168986
0.0005678557158,-1.95829,-1.20426
0.0006029922564,-2.862,-2.1869
0.000638128797,-3.67639,-3.07396
0.0006732653376,-4.36324,-3.82668
0.0007084018782,-4.88995,-4.41215
0.0007435384188,-5.23091,-4.80479
0.0007786749594,-5.36866,-4.98743
0.0008138115,-5.29464,-4.9521
0.0008489480406,-5.00967,-4.70035
0.0008840845812,-4.52387,-4.24316
0.0009192211218,-3.85628,-3.60053
0.0009543576624,-3.03402,-2.80053
0.000989494203,-2.09112,-1.87814
0.001024630744,-1.06698,-0.873671
0.001059767284,-0.00470951,0.168986
0.001094903825,1.05082,1.20426
0.001130040365,2.05492,2.1869
0.001165176906,2.96504,3.07396
0.001200313447,3.74262,3.82668
0.001235449987,4.35482,4.41215
0.001270586528,4.77592,4.80479
0.001305723068,4.98846,4.98743
0.001340859609,4.98402,4.9521
0.00137599615,4.76357,4.70035
0.00141113269,4.33746,4.24316
0.001446269231,3.72492,3.60053
0.001481405771,2.95329,2.80053
0.001516542312,2.05679,1.87814
0.001551678853,1.07502,0.873671
0.001586815393,0.0512607,-0.168986
0.001621951934,-0.969423,-1.20426
0.001657088474,-1.94216,-2.1869
0.001692225015,-2.82422,-3.07396
0.001727361556,-3.57689,-3.82668
0.001762498096,-4.16713,-4.41215
0.001797634637,-4.56906,-4.80479
0.001832771177,-4.76505,-4.98743
0.001867907718,-4.74652,-4.9521
0.001903044258,-4.51428,-4.70035
0.001938180799,-4.0785,-4.24316
0.00197331734,-3.45829,-3.60053
0.00200845388,-2.68083,-2.80053
0.002043590421,-1.7802,-1.87814
0.002078726961,-0.795873,-0.873671
0.002113863502,0.229003,0.168986
0.002149000043,1.24949,1.20426
0.002184136583,2.22084,2.1869
0.002219273124,3.10043,3.07396
0.002254409664,3.84964,3.82668
0.002289546205,4.43556,4.41215
0.002324682746,4.83238,4.80479
0.002359819286,5.02258,4.98743
0.002394955827,4.99765,4.9521
0.002430092367,4.75849,4.70035
0.002465228908,4.31535,4.24316
0.002500365449,3.6874,3.60053
0.002535501989,2.90189,2.80053
0.00257063853,1.99296,1.87814
0.00260577507,1.00014,0.873671
0.002640911611,-0.0333687,-0.168986
0.002676048152,-1.06258,-1.20426
0.002711184692,-2.04269,-2.1869
0.002746321233,-2.93105,-3.07396
0.002781457773,-3.689,-3.82668
