"TIME","Vin","Notch","NarrowBPF"
0,0,-0.0100009,-0.00499968
3.703703704e-007,0.0104718,-0.0179104,-0.00500004
3.883694104e-007,0.0109807,-0.018311,-0.00500006
4.243674905e-007,0.0119985,-0.0191453,-0.00500045
4.963636508e-007,0.0140341,-0.0209303,-0.00500122
6.403559712e-007,0.0181053,-0.024763,-0.00500383
9.283406121e-007,0.0262478,-0.0327909,-0.00501137
1.280252553e-006,0.0361977,-0.0427445,-0.00502456
1.791716507e-006,0.0506587,-0.0572109,-0.00505151
2.445155712e-006,0.0691311,-0.0756449,-0.00509941
3.349111877e-006,0.0946855,-0.101108,-0.00519052
4.549558532e-006,0.128622,-0.134875,-0.00535609
6.197463495e-006,0.175183,-0.181136,-0.00566598
8.433728837e-006,0.238368,-0.243738,-0.00623893
1.151996928e-005,0.325489,-0.329784,-0.00731663
1.464334445e-005,0.413558,-0.416429,-0.00874429
1.875053751e-005,0.529166,-0.529656,-0.0111335
2.342794239e-005,0.660473,-0.657553,-0.0145553
2.948842799e-005,0.829907,-0.82148,-0.0200826
3.689946791e-005,1.03575,-1.01896,-0.0284848
4.64799795e-005,1.29911,-1.26891,-0.0419424
5.867413342e-005,1.6287,-1.57742,-0.0631068
7.252443199e-005,1.99358,-1.91326,-0.0922634
9.092089621e-005,2.45896,-2.33258,-0.138498
0.000117295729,3.07857,-2.87411,-0.216891
0.0001543327661,3.83044,-3.50119,-0.342191
0.0001913698031,4.41489,-3.95555,-0.472868
0.0002284068401,4.8064,-4.2259,-0.594634
0.0002654438772,4.98784,-4.30951,-0.693087
0.0003024809142,4.95129,-4.21161,-0.755031
0.0003395179512,4.69835,-3.94469,-0.769561
0.0003765549883,4.24006,-3.52751,-0.728943
0.0004135920253,3.59647,-2.984,-0.629275
0.0004506290623,2.79569,-2.34193,-0.470881
0.0004876660994,1.87272,-1.63164,-0.258432
0.0005247031364,0.867913,-0.884603,-0.000775757
0.0005617401735,-0.17483,-0.13216,0.289505
0.0005987772105,-1.20993,0.595734,0.596792
0.0006358142475,-2.19216,1.27158,0.903333
0.0006728512846,-3.07857,1.87128,1.1903
0.0007098883216,-3.83044,2.37483,1.43893
0.0007469253586,-4.41489,2.76687,1.63171
0.0007839623957,-4.8064,3.03699,1.7535
0.0008209994327,-4.98784,3.17983,1.79252
0.0008580364698,-4.95129,3.19501,1.7412
0.0008950735068,-4.69835,3.08689,1.59679
0.0009321105438,-4.24006,2.86411,1.36166
0.0009691475809,-3.59647,2.53911,1.0434
0.001006184618,-2.79569,2.1275,0.654533
0.001043221655,-1.87272,1.64732,0.211985
0.001080258692,-0.867913,1.11836,-0.263694
0.001117295729,0.17483,0.561383,-0.749361
0.001154332766,1.20993,-0.00259219,-1.22045
0.001191369803,2.19216,-0.553021,-1.65228
0.00122840684,3.07857,-1.07047,-2.02134
0.001265443877,3.83044,-1.53721,-2.30663
0.001302480914,4.41489,-1.93774,-2.49077
0.001339517951,4.8064,-2.2592,-2.56107
0.001376554988,4.98784,-2.49172,-2.51028
0.001413592025,4.95129,-2.62865,-2.33712
0.001450629062,4.69835,-2.66672,-2.04643
0.001487666099,4.24006,-2.60606,-1.64915
0.001524703136,3.59647,-2.45013,-1.16181
0.001561740173,2.79569,-2.20562,-0.605848
0.00159877721,1.87272,-1.88216,-0.00661614
0.001635814248,0.867913,-1.49203,0.607824
0.001672851285,-0.17483,-1.04972,1.20806
0.001709888322,-1.20993,-0.571461,1.76477
0.001746925359,-2.19216,-0.0747383,2.25019
0.001783962396,-3.07857,0.422331,2.63952
0.001820999433,-3.83044,0.901578,2.91218
0.00185803647,-4.41489,1.3454,3.05292
0.001895073507,-4.8064,1.73737,3.05263
0.001932110544,-4.98784,2.06282,2.90884
0.001969147581,-4.95129,2.30937,2.62601
0.002006184618,-4.69835,2.46742,2.21531
0.002043221655,-4.24006,2.53054,1.69423
0.002080258692,-3.59647,2.49573,1.08579
0.002117295729,-2.79569,2.36361,0.417471
0.002154332766,-1.87272,2.1385,-0.280049
0.002191369803,-0.867913,1.82827,-0.974325
0.00222840684,0.17483,1.44418,-1.6327
0.002265443877,1.20993,1.00045,-2.22386
0.002302480914,2.19216,0.513872,-2.71933
0.002339517951,3.07857,0.00311665,-3.09489
0.002376554988,3.83044,-0.511887,-3.33172
0.002413592025,4.41489,-1.01074,-3.41738
0.002450629062,4.8064,-1.47334,-3.34639
0.002487666099,4.98784,-1.88075,-3.1206
0.002524703136,4.95129,-2.21592,-2.74914
0.002561740173,4.69835,-2.46442,-2.24799
0.00259877721,4.24006,-2.61515,-1.63932
0.002635814248,3.59647,-2.66076,-0.950489
0.002672851285,2.79569,-2.59811,-0.21274
0.002709888322,1.87272,-2.42846,0.540191
0.002746925359,0.867913,-2.15749,1.27366
0.002783962396,-0.17483,-1.79517,1.95375
0.002820999433,-1.20993,-1.3554,2.54879
0.00285803647,-2.19216,-0.855537,3.03093
0.002895073507,-3.07857,-0.31572,3.37737
0.002932110544,-3.83044,0.241953,3.57149
0.002969147581,-4.41489,0.794299,3.60361
0.003006184618,-4.8064,1.31803,3.47147
0.003043221655,-4.98784,1.79074,3.18038
0.003080258692,-4.95129,2.19186,2.74295
0.003117295729,-4.69835,2.50361,2.17858
0.003154332766,-4.24006,2.71175,1.51252
0.003191369803,-3.59647,2.80629,0.774789
0.00322840684,-2.79569,2.78197,-0.00124854
0.003265443877,-1.87272,2.63857,-0.780382
0.003302480914,-0.867913,2.38097,-1.52718
0.003339517951,0.17483,2.01902,-2.20759
0.003376554988,1.20993,1.5672,-2.79053
0.003413592025,2.19216,1.04402,-3.24931
