"TIME","Vin","Notch","NarrowBPF"
0.003640837548,-3.86928,0.730747,3.12343
0.003674170881,-4.44315,0.729768,3.69838
0.003707504215,-4.82282,0.693285,4.11464
0.003740837548,-4.99172,0.623622,4.35329
0.003774170881,-4.94245,0.524629,4.4031
0.003807504215,-4.67717,0.40147,4.26105
0.003840837548,-4.20748,0.260367,3.93251
0.003874170881,-3.5539,0.10829,3.43104
0.003907504215,-2.745,-0.047377,2.77781
0.003940837548,-1.81613,-0.19919,2.00074
0.003974170881,-0.807888,-0.339993,1.13326
0.004007504215,0.235665,-0.463242,0.212906
0.004040837548,1.26892,-0.56331,-0.720347
0.004074170881,2.24671,-0.635732,-1.6258
0.004107504215,3.12632,-0.677399,-2.46382
0.004140837548,3.86928,-0.686685,-3.1976
0.004174170881,4.44315,-0.663507,-3.79473
0.004207504215,4.82282,-0.609307,-4.22868
0.004240837548,4.99172,-0.526967,-4.47999
0.004274170881,4.94245,-0.420662,-4.53709
0.004307504215,4.67717,-0.295645,-4.39688
0.004340837548,4.20748,-0.157998,-4.06486
0.004374170881,3.5539,-0.0143331,-3.55496
0.004407504215,2.745,0.128516,-2.88889
0.004440837548,1.81613,0.263815,-2.09529
0.004474170881,0.807888,0.385242,-1.20843
0.004507504215,-0.235665,0.487177,-0.266751
0.004540837548,-1.26892,0.564958,0.688793
0.004574170881,-2.24671,0.615085,1.61654
0.004607504215,-3.12632,0.635379,2.47593
0.004640837548,-3.86928,0.625067,3.22929
0.004674170881,-4.44315,0.584809,3.84349
0.004707504215,-4.82282,0.516658,4.29139
0.004740837548,-4.99172,0.423952,4.55305
0.004774170881,-4.94245,0.311153,4.61662
0.004807504215,-4.67717,0.183629,4.4789
0.004840837548,-4.20748,0.0474058,4.14544
0.004874170881,-3.5539,-0.0911208,3.63038
0.004907504215,-2.745,-0.22548,2.95581
0.004940837548,-1.81613,-0.349426,2.15085
0.004974170881,-0.807888,-0.457224,1.25035
0.005007504215,0.235665,-0.543914,0.293419
0.005040837548,1.26892,-0.605531,-0.678292
0.005074170881,2.24671,-0.639287,-1.62241
0.005107504215,3.12632,-0.643691,-2.49769
0.005140837548,3.86928,-0.618614,-3.26581
0.005174170881,4.44315,-0.565286,-3.89307
0.005207504215,4.82282,-0.486234,-4.35186
0.005240837548,4.99172,-0.385164,-4.62187
0.005274170881,4.94245,-0.266784,-4.69101
0.005307504215,4.67717,-0.136583,-4.55595
0.005340837548,4.20748,-0.000581595,-4.22226
0.005374170881,3.5539,0.13495,-3.7042
0.005407504215,2.745,0.263777,-3.02409
0.005440837548,1.81613,0.379986,-2.21137
0.005474170881,0.807888,0.478252,-1.30133
0.005507504215,-0.235665,0.554084,-0.333542
0.005540837548,-1.26892,0.604023,0.64985
0.005574170881,-2.24671,0.6258,1.60595
0.005607504215,-3.12632,0.618436,2.49299
0.005640837548,-3.86928,0.58228,3.27219
0.005674170881,-4.44315,0.518997,3.9094
0.005707504215,-4.82282,0.431486,4.37664
0.005740837548,-4.99172,0.323742,4.65332
0.005774170881,-4.94245,0.200679,4.72713
0.005807504215,-4.67717,0.0679039,4.59464
0.005840837548,-4.20748,-0.0685423,4.26138
0.005874170881,-3.5539,-0.202456,3.74169
0.005907504215,-2.745,-0.327752,3.05804
0.005940837548,-1.81613,-0.438741,2.2401
0.005974170881,-0.807888,-0.530384,1.32343
0.006007504215,0.235665,-0.59852,0.347941
0.006040837548,1.26892,-0.640055,-0.643857
0.006074170881,2.24671,-0.653098,-1.60869
0.006107504215,3.12632,-0.637046,-2.50442
0.006140837548,3.86928,-0.59261,-3.2919
0.006174170881,4.44315,-0.521782,-3.93665
0.006207504215,4.82282,-0.427744,-4.41041
0.006240837548,4.99172,-0.314724,-4.69236
0.006274170881,4.94245,-0.187806,-4.77002
0.006307504215,4.67717,-0.052698,-4.63985
0.006340837548,4.20748,0.0845213,-4.30736
0.006374170881,3.5539,0.217679,-3.78691
0.006407504215,2.745,0.340783,-3.10106
0.006440837548,1.81613,0.448292,-2.27964
0.006474170881,0.807888,0.535365,-1.35839
