"TIME","Vin","Notch","NarrowBPF"
0,0,-0.0100009,-0.00499968
3.03030303e-007,0.0104718,-0.0175037,-0.00499841
3.1851226e-007,0.0110068,-0.0179044,-0.00499835
3.49476174e-007,0.0120768,-0.0187418,-0.0049986
4.11404002e-007,0.0142168,-0.0205486,-0.00499912
5.35259658e-007,0.0184969,-0.0244813,-0.0050013
7.829709699e-007,0.027057,-0.0328411,-0.00500788
1.076932741e-006,0.0372154,-0.0429974,-0.00501914
1.51164018e-006,0.0522376,-0.0580364,-0.00504261
2.061333288e-006,0.0712302,-0.0770056,-0.00508396
2.826580361e-006,0.0976704,-0.103368,-0.00516327
3.837390952e-006,0.132595,-0.138145,-0.00530676
5.225859418e-006,0.180542,-0.185834,-0.0055756
7.102404409e-006,0.245343,-0.250129,-0.00607057
9.68551668e-006,0.334458,-0.338319,-0.00699842
1.258593396e-005,0.43439,-0.436876,-0.00837892
1.606692916e-005,0.554093,-0.554461,-0.0105055
2.022496228e-005,0.696651,-0.693829,-0.0137111
2.537444991e-005,0.87239,-0.864632,-0.0186721
3.178440223e-005,1.08958,-1.07418,-0.0263511
3.989817471e-005,1.36137,-1.334,-0.0383975
5.024667046e-005,1.70171,-1.65545,-0.0573781
6.364757787e-005,2.12925,-2.05295,-0.0875932
7.897785121e-005,2.59575,-2.47805,-0.129223
0.0001005564932,3.20191,-3.01536,-0.198472
0.0001308595235,3.93038,-3.63268,-0.310269
0.0001611625538,4.48708,-4.07046,-0.42993
0.0001914655841,4.84766,-4.31508,-0.546708
0.0002217686144,4.99638,-4.3619,-0.649415
0.0002520716447,4.92674,-4.21515,-0.727302
0.000282374675,4.64177,-3.88742,-0.770796
0.0003126777053,4.15393,-3.39888,-0.772141
0.0003429807356,3.48455,-2.77622,-0.72594
0.0003732837659,2.66288,-2.05133,-0.629552
0.0004035867962,1.72482,-1.25972,-0.483349
0.0004338898265,0.711385,-0.438926,-0.2908
0.0004641928568,-0.333143,0.37325,-0.0583891
0.0004944958871,-1.36311,1.14039,0.204639
0.0005247989174,-2.33351,1.82908,0.486688
0.0005551019477,-3.20191,2.41027,0.774355
0.000585404978,-3.93038,2.86054,1.05309
0.0006157080083,-4.48708,3.16299,1.30795
0.0006460110386,-4.84766,3.30783,1.52434
0.0006763140689,-4.99638,3.29271,1.68882
0.0007066170993,-4.92674,3.12264,1.78987
0.0007369201296,-4.64177,2.80961,1.8185
0.0007672231599,-4.15393,2.37189,1.76888
0.0007975261902,-3.48455,1.8331,1.63868
0.0008278292205,-2.66288,1.22099,1.4294
0.0008581322508,-1.72482,0.566129,1.14636
0.0008884352811,-0.711385,-0.0995868,0.798665
0.0009187383114,0.333143,-0.744393,0.39884
0.0009490413417,1.36311,-1.33813,-0.0376181
0.000979344372,2.33351,-1.85359,-0.492881
0.001009647402,3.20191,-2.26775,-0.947551
0.001039950433,3.93038,-2.56274,-1.38152
0.001070253463,4.48708,-2.7266,-1.77489
0.001100556493,4.84766,-2.75375,-2.10888
0.001130859523,4.99638,-2.64514,-2.36675
0.001161162554,4.92674,-2.40815,-2.53461
0.001191465584,4.64177,-2.0561,-2.60215
0.001221768614,4.15393,-1.60759,-2.56319
0.001252071645,3.48455,-1.0856,-2.41609
0.001282374675,2.66288,-0.516267,-2.16392
0.001312677705,1.72482,0.0722675,-1.81446
0.001342980736,0.711385,0.651265,-1.37997
0.001373283766,-0.333143,1.19271,-0.876719
0.001403586796,-1.36311,1.67065,-0.324411
0.001433889827,-2.33351,2.06233,0.25466
0.001464192857,-3.20191,2.34931,0.836516
0.001494495887,-3.93038,2.51826,1.39652
0.001524798917,-4.48708,2.56155,1.91043
0.001555101948,-4.84766,2.47757,2.35551
0.001585404978,-4.99638,2.27078,2.71151
0.001615708008,-4.92674,1.95147,2.96161
0.001646011039,-4.64177,1.53526,3.09323
0.001676314069,-4.15393,1.04231,3.09865
0.001706617099,-3.48455,0.496381,2.97538
0.00173692013,-2.66288,-0.0762709,2.72645
0.00176722316,-1.72482,-0.648165,2.36027
0.00179752619,-0.711385,-1.19186,1.8904
0.00182782922,0.333143,-1.68127,1.33503
0.001858132251,1.36311,-2.09282,0.716288
0.001888435281,2.33351,-2.40661,0.0592828
0.001918738311,3.20191,-2.60732,-0.60888
0.001949041342,3.93038,-2.68491,-1.26026
0.001979344372,4.48708,-2.63509,-1.86728
0.002009647402,4.84766,-2.45956,-2.4039
0.002039950433,4.99638,-2.1659,-2.84675
0.002070253463,4.92674,-1.76722,-3.17619
0.002100556493,4.64177,-1.28163,-3.37715
0.002130859523,4.15393,-0.731314,-3.43987
0.002161162554,3.48455,-0.141601,-3.36034
0.002191465584,2.66288,0.460247,-3.14054
0.002221768614,1.72482,1.04627,-2.78841
0.002252071645,0.711385,1.58908,-2.3176
0.002282374675,-0.333143,2.06318,-1.74686
0.002312677705,-1.36311,2.44605,-1.09938
0.002342980736,-2.33351,2.71928,-0.401764
0.002373283766,-3.20191,2.86938,0.317047
0.002403586796,-3.93038,2.88844,1.02699
0.002433889827,-4.48708,2.77449,1.69817
0.002464192857,-4.84766,2.53165,2.30211
0.002494495887,-4.99638,2.16995,2.813
0.002524798917,-4.92674,1.7049,3.2088
0.002555101948,-4.64177,1.15682,3.47223
0.002585404978,-4.15393,0.549942,3.59148
0.002615708008,-3.48455,-0.0886682,3.56081
0.002646011039,-2.66288,-0.730335,3.38079
0.002676314069,-1.72482,-1.34605,3.05831
0.002706617099,-0.711385,-1.90778,2.60636
0.00273692013,0.333143,-2.38973,2.04344
0.00276722316,1.36311,-2.76956,1.39287
0.00279752619,2.33351,-3.02934,0.68175
0.00282782922,3.20191,-3.15643,-0.0601162
0.002858132251,3.93038,-3.14406,-0.801523
0.002888435281,4.48708,-2.99167,-1.51117
0.002918738311,4.84766,-2.70496,-2.159
0.002949041342,4.99638,-2.29568,-2.71748
0.002979344372,4.92674,-1.78113,-3.16279
0.003009647402,4.64177,-1.18342,-3.47584
0.003039950433,4.15393,-0.528503,-3.64313
0.003070253463,3.48455,0.154957,-3.65729
0.003100556493,2.66288,0.83684,-3.51746
0.003130859523,1.72482,1.48691,-3.22932
0.003161162554,0.711385,2.07617,-2.80486
0.003191465584,-0.333143,2.57811,-2.2619
0.003221768614,-1.36311,2.96997,-1.62332
0.003252071645,-2.33351,3.23371,-0.916127
0.003282374675,-3.20191,3.35683,-0.17026
0.003312677705,-3.93038,3.333,0.582639
0.003342980736,-4.48708,3.16233,1.3106
0.003373283766,-4.84766,2.8514,1.98267
0.003403586796,-4.99638,2.41302,2.57027
0.003433889827,-4.92674,1.86568,3.04839
0.003464192857,-4.64177,1.23275,3.39667
0.003494495887,-4.15393,0.541498,3.6003
0.003524798917,-3.48455,-0.178106,3.6506
0.003555101948,-2.66288,-0.8947,3.54548
0.003585404978,-1.72482,-1.5769,3.28945
0.003615708008,-0.711385,-2.19468,2.8935
0.003646011039,0.333143,-2.7207,2.37459
0.003676314069,1.36311,-3.1315,1.75492
0.003706617099,2.33351,-3.40857,1.06104
0.00373692013,3.20191,-3.53917,0.322632
0.00376722316,3.93038,-3.51693,-0.428709
0.00379752619,4.48708,-3.3421,-1.16085
0.00382782922,4.84766,-3.02164,-1.84249
0.003858132251,4.99638,-2.56886,-2.44451
0.003888435281,4.92674,-2.00294,-2.94122
0.003918738311,4.64177,-1.34804,-3.31148
0.003949041342,4.15393,-0.632334,-3.53957
0.003979344372,3.48455,0.113289,-3.61591
0.004009647402,2.66288,0.856504,-3.5374
0.004039950433,1.72482,1.56498,-3.30765
0.004070253463,0.711385,2.20779,-2.93673
0.004100556493,-0.333143,2.75678,-2.44077
0.004130859523,-1.36311,3.18776,-1.84128
0.004161162554,-2.33351,3.48164,-1.16418
0.004191465584,-3.20191,3.6252,-0.438718
0.004221768614,-3.93038,3.61177,0.303831
0.004252071645,-4.48708,3.44145,1.03148
0.004282374675,-4.84766,3.12119,1.71293
0.004312677705,-4.99638,2.66447,2.31891
0.004342980736,-4.92674,2.09074,2.82345
0.004373283766,-4.64177,1.4246,3.20499
0.004403586796,-4.15393,0.694694,3.44728
0.004433889827,-3.48455,-0.0674555,3.54015
0.004464192857,-2.66288,-0.828873,3.47986
0.004494495887,-1.72482,-1.55654,3.26929
0.004524798917,-0.711385,-2.21882,2.91784
0.004555101948,0.333143,-2.78687,2.44095
0.004585404978,1.36311,-3.23588,1.85948
