TIME,Butter_2,Bessel_2,Cheby_2
0.000000000000,-0.005002240000,-0.005002170000,-0.005001780000
0.000000355141,-0.005000430000,-0.005000340000,-0.004998930000
0.000000398757,-0.005000210000,-0.005000120000,-0.004998910000
0.000001009382,-0.004999730000,-0.004999630000,-0.004998540000
0.000001512924,-0.004999330000,-0.004998350000,-0.004998240000
0.000002000740,-0.004997910000,-0.004997110000,-0.004997480000
0.000002673131,-0.004995950000,-0.004993290000,-0.004996440000
0.000003501978,-0.004990920000,-0.004985210000,-0.004993780000
0.000004650191,-0.004978840000,-0.004965830000,-0.004987430000
0.000006241931,-0.004949020000,-0.004918140000,-0.004971760000
0.000008404331,-0.004876100000,-0.004801890000,-0.004933360000
0.000011353364,-0.004696360000,-0.004516640000,-0.004838320000
0.000015341970,-0.004257190000,-0.003824060000,-0.004604610000
0.000020760757,-0.003182350000,-0.002143140000,-0.004027380000
0.000028117931,-0.000564728000,0.001904660000,-0.002603770000
0.000038155432,0.005802350000,0.011602800000,0.000919284000
0.000049763746,0.018193800000,0.030149800000,0.007916120000
0.000061095511,0.036478500000,0.057054600000,0.018448500000
0.000075626632,0.070385200000,0.105962000000,0.038448400000
0.000092124604,0.124853000000,0.182711000000,0.071495700000
0.000111542258,0.212594000000,0.303098000000,0.126507000000
0.000135368986,0.356658000000,0.494571000000,0.220529000000
0.000168210786,0.619290000000,0.829314000000,0.401547000000
0.000201544120,0.953468000000,1.235740000000,0.646644000000
0.000234877453,1.340860000000,1.684800000000,0.949673000000
0.000268210786,1.761090000000,2.147370000000,1.302030000000
0.000301544120,2.189920000000,2.592390000000,1.690680000000
0.000334877453,2.601040000000,2.989220000000,2.098750000000
0.000368210786,2.967910000000,3.309730000000,2.506820000000
0.000401544120,3.265460000000,3.529920000000,2.893320000000
0.000434877453,3.471660000000,3.631330000000,3.236400000000
0.000468210786,3.568780000000,3.601850000000,3.514820000000
0.000501544120,3.544450000000,3.436300000000,3.709210000000
0.000534877453,3.392370000000,3.136580000000,3.803180000000
0.000568210786,3.112600000000,2.711500000000,3.784240000000
0.000601544120,2.711700000000,2.176200000000,3.644620000000
0.000634877453,2.202350000000,1.551430000000,3.381780000000
0.000668210786,1.602830000000,0.862481000000,2.998750000000
0.000701544120,0.936100000000,0.137969000000,2.504100000000
0.000734877453,0.228780000000,-0.591526000000,1.911760000000
0.000768210786,-0.490130000000,-1.294880000000,1.240490000000
0.000801544120,-1.190590000000,-1.941860000000,0.513160000000
0.000834877453,-1.842910000000,-2.504520000000,-0.244174000000
0.000868210786,-2.419150000000,-2.958450000000,-1.003380000000
0.000901544120,-2.894360000000,-3.283890000000,-1.735460000000
0.000934877453,-3.247800000000,-3.466650000000,-2.411780000000
0.000968210786,-3.463870000000,-3.498710000000,-3.005390000000
0.001001544119,-3.532860000000,-3.378630000000,-3.492180000000
0.001034877453,-3.451370000000,-3.111590000000,-3.852000000000
0.001068210786,-3.222560000000,-2.709200000000,-4.069610000000
0.001101544119,-2.856000000000,-2.188980000000,-4.135370000000
0.001134877453,-2.367280000000,-1.573590000000,-4.045730000000
0.001168210786,-1.777340000000,-0.889878000000,-3.803500000000
0.001201544119,-1.111580000000,-0.167679000000,-3.417750000000
0.001234877453,-0.398738000000,0.561487000000,-2.903530000000
0.001268210786,0.330332000000,1.265790000000,-2.281240000000
0.001301544119,1.044040000000,1.914470000000,-1.575840000000
0.001334877453,1.711420000000,2.479200000000,-0.815819000000
0.001368210786,2.303500000000,2.935330000000,-0.032001900000
0.001401544119,2.794540000000,3.262910000000,0.743733000000
0.001434877453,3.163220000000,3.447660000000,1.479800000000
0.001468210786,3.393500000000,3.481500000000,2.146260000000
0.001501544119,3.475380000000,3.362960000000,2.716050000000
0.001534877453,3.405330000000,3.097230000000,3.166180000000
0.001568210786,3.186440000000,2.695910000000,3.478720000000
0.001601544119,2.828280000000,2.176550000000,3.641520000000
0.001634877453,2.346510000000,1.561850000000,3.648750000000
0.001668210786,1.762170000000,0.878677000000,3.501200000000
0.001701544119,1.100790000000,0.156885000000,3.206170000000
0.001734877453,0.391267000000,-0.571978000000,2.777210000000
0.001768210786,-0.335423000000,-1.276060000000,2.233500000000
0.001801544119,-1.047540000000,-1.924580000000,1.599050000000
0.001834877453,-1.713970000000,-2.489210000000,0.901682000000
0.001868210786,-2.305620000000,-2.945270000000,0.171773000000
0.001901544119,-2.796640000000,-3.272820000000,-0.558999000000
0.001934877453,-3.165600000000,-3.457550000000,-1.259040000000
0.001968210786,-3.396370000000,-3.491380000000,-1.898210000000
0.002001544119,-3.478890000000,-3.372850000000,-2.449100000000
0.002034877453,-3.409570000000,-3.107120000000,-2.888220000000
0.002068210786,-3.191440000000,-2.705810000000,-3.197010000000
0.002101544119,-2.834030000000,-2.186470000000,-3.362630000000
0.002134877453,-2.352990000000,-1.571790000000,-3.378500000000
0.002168210786,-1.769330000000,-0.888625000000,-3.244590000000
0.002201544119,-1.108570000000,-0.166845000000,-2.967370000000
0.002234877453,-0.399583000000,0.562008000000,-2.559570000000
0.002268210786,0.326637000000,1.266080000000,-2.039580000000
0.002301544119,1.038350000000,1.914600000000,-1.430620000000
0.002334877453,1.704460000000,2.479220000000,-0.759781000000
0.002368210786,2.295840000000,2.935280000000,-0.056771900000
0.002401544119,2.786660000000,3.262820000000,0.647339000000
0.002434877453,3.155460000000,3.447550000000,1.321500000000
0.002468210786,3.386130000000,3.481380000000,1.936030000000
0.002501544119,3.468580000000,3.362850000000,2.463900000000
0.002534877453,3.399210000000,3.097120000000,2.881950000000
