TIME,Vin,Bessel_2,butter_2,Cheby_2
0.000000000000,0.000000000000,-0.005002170000,-0.005002240000,-0.005001780000
0.000020000000,0.006283100000,-0.004879320000,-0.004919300000,-0.004954050000
0.000021134887,0.006639630000,-0.004871580000,-0.004914070000,-0.004951340000
0.000023404662,0.007352690000,-0.004856100000,-0.004903610000,-0.004945210000
0.000027944211,0.008778810000,-0.004818740000,-0.004878370000,-0.004930720000
0.000037023310,0.011631000000,-0.004715800000,-0.004808590000,-0.004890520000
0.000054866850,0.017236700000,-0.004371940000,-0.004572240000,-0.004752140000
0.000075386657,0.023683100000,-0.003692040000,-0.004094230000,-0.004464580000
0.000106838446,0.033563800000,-0.001943860000,-0.002821580000,-0.003664880000
0.000147524388,0.046345500000,0.001708100000,-0.000037387600,-0.001806630000
0.000205884716,0.064676600000,0.009674070000,0.006403100000,0.002858650000
0.000264386729,0.083052200000,0.020578700000,0.015735900000,0.010207600000
0.000345530106,0.108540000000,0.039500000000,0.032908700000,0.025081700000
0.000435884939,0.136920000000,0.064178500000,0.056574800000,0.047732000000
0.000582847546,0.183055000000,0.108439000000,0.101094000000,0.095172200000
0.000788535591,0.247624000000,0.173322000000,0.168124000000,0.172892000000
0.001046985926,0.328683000000,0.255356000000,0.252583000000,0.271645000000
0.001351381255,0.424039000000,0.351240000000,0.349489000000,0.376473000000
0.001644014181,0.515564000000,0.442873000000,0.440903000000,0.466097000000
0.002018315542,0.632374000000,0.559758000000,0.557301000000,0.575834000000
0.002449070804,0.766365000000,0.693943000000,0.691256000000,0.705766000000
0.003004434002,0.938275000000,0.866226000000,0.863602000000,0.879048000000
0.003624948501,1.128990000000,1.057460000000,1.054930000000,1.072460000000
0.004639905605,1.437110000000,1.366620000000,1.364150000000,1.381710000000
0.005718827620,1.758210000000,1.689120000000,1.686700000000,1.703320000000
0.007718827620,2.330990000000,2.265170000000,2.262890000000,2.278700000000
0.009718827620,2.867010000000,2.805500000000,2.803400000000,2.818290000000
0.011718827620,3.357810000000,3.301580000000,3.299710000000,3.313320000000
0.013718827620,3.795660000000,3.745530000000,3.743900000000,3.756010000000
0.015718827620,4.173650000000,4.130330000000,4.128970000000,4.139390000000
0.017718827620,4.485820000000,4.449910000000,4.448850000000,4.457410000000
0.019718827620,4.727250000000,4.699230000000,4.698480000000,4.705060000000
0.021718827620,4.894120000000,4.874360000000,4.873940000000,4.878420000000
0.023718827620,4.983810000000,4.972550000000,4.972450000000,4.974780000000
0.025718827620,4.994900000000,4.992230000000,4.992470000000,4.992590000000
0.027718827620,4.927220000000,4.933110000000,4.933670000000,4.931600000000
0.029718827620,4.781840000000,4.796110000000,4.796990000000,4.792750000000
0.031718827620,4.561040000000,4.583390000000,4.584580000000,4.578230000000
0.033718827620,4.268310000000,4.298310000000,4.299780000000,4.291440000000
0.035718827620,3.908270000000,3.945360000000,3.947100000000,3.936890000000
0.037718827620,3.486590000000,3.530120000000,3.532090000000,3.520170000000
0.039718827620,3.009930000000,3.059120000000,3.061300000000,3.047860000000
0.041718827620,2.485800000000,2.539810000000,2.542150000000,2.527400000000
0.043718827620,1.922460000000,1.980350000000,1.982830000000,1.967010000000
0.045718827620,1.328810000000,1.389590000000,1.392170000000,1.375520000000
0.047718827620,0.714200000000,0.776835000000,0.779463000000,0.762249000000
0.049718827620,0.088328300000,0.151749000000,0.154389000000,0.136884000000
0.051718827620,-0.538937000000,-0.475808000000,-0.473198000000,-0.490720000000
0.053718827620,-1.157700000000,-1.095940000000,-1.093400000000,-1.110660000000
0.055718827620,-1.758210000000,-1.698870000000,-1.696440000000,-1.713170000000
0.057718827620,-2.330990000000,-2.275080000000,-2.272810000000,-2.288740000000
0.059718827620,-2.867010000000,-2.815500000000,-2.813410000000,-2.828290000000
0.061718827620,-3.357810000000,-3.311590000000,-3.309710000000,-3.323310000000
0.063718827620,-3.795660000000,-3.755530000000,-3.753910000000,-3.766010000000
0.065718827620,-4.173650000000,-4.140330000000,-4.138980000000,-4.149390000000
0.067718827620,-4.485820000000,-4.459910000000,-4.458850000000,-4.467410000000
0.069718827620,-4.727250000000,-4.709230000000,-4.708490000000,-4.715060000000
0.071718827620,-4.894120000000,-4.884370000000,-4.883940000000,-4.888430000000
0.073718827620,-4.983810000000,-4.982550000000,-4.982460000000,-4.984780000000
0.075718827620,-4.994900000000,-5.002240000000,-5.002470000000,-5.002600000000
0.077718827620,-4.927220000000,-4.943110000000,-4.943680000000,-4.941600000000
0.079718827620,-4.781840000000,-4.806110000000,-4.806990000000,-4.802750000000
0.081718827620,-4.561040000000,-4.593390000000,-4.594580000000,-4.588240000000
0.083718827620,-4.268310000000,-4.308310000000,-4.309790000000,-4.301440000000
0.085718827620,-3.908270000000,-3.955370000000,-3.957110000000,-3.946890000000
0.087718827620,-3.486590000000,-3.540120000000,-3.542100000000,-3.530170000000
0.089718827620,-3.009930000000,-3.069130000000,-3.071310000000,-3.057860000000
0.091718827620,-2.485800000000,-2.549810000000,-2.552160000000,-2.537410000000
0.093718827620,-1.922460000000,-1.990360000000,-1.992840000000,-1.977010000000
0.095718827620,-1.328810000000,-1.399600000000,-1.402170000000,-1.385520000000
0.097718827620,-0.714200000000,-0.786840000000,-0.789468000000,-0.772253000000
0.099718827620,-0.088328300000,-0.161754000000,-0.164394000000,-0.146887000000
0.100000000000,0.000000000000,-0.073250100000,-0.075873700000,-0.058337800000
