TIME,Vin,Butter_3,Bessel_3,Cheby_3
0.000000000000,0.000000000000,-0.010003300000,-0.010003000000,-0.010005500000
0.000001898766,0.059650100000,-0.010003200000,-0.010002900000,-0.010005500000
0.000002520718,0.079185300000,-0.010003200000,-0.010002900000,-0.010005500000
0.000004349611,0.136630000000,-0.010003000000,-0.010002200000,-0.010005300000
0.000005849347,0.183710000000,-0.010002800000,-0.010001700000,-0.010005200000
0.000007841844,0.246259000000,-0.010001000000,-0.009999190000,-0.010005000000
0.000010606101,0.332954000000,-0.009998610000,-0.009990740000,-0.010003400000
0.000014311129,0.448992000000,-0.009988280000,-0.009963400000,-0.010001400000
0.000019373052,0.607121000000,-0.009953980000,-0.009873410000,-0.009992260000
0.000026218551,0.819960000000,-0.009841480000,-0.009582520000,-0.009962180000
0.000035569337,1.108160000000,-0.009470240000,-0.008642390000,-0.009861230000
0.000046316158,1.434610000000,-0.008532910000,-0.006324510000,-0.009600650000
0.000057883921,1.778650000000,-0.006588020000,-0.001632910000,-0.009046960000
0.000071340106,2.166910000000,-0.002532650000,0.007878880000,-0.007860490000
0.000087079971,2.601230000000,0.005649580000,0.026448300000,-0.005388380000
0.000105341727,3.073010000000,0.021431500000,0.060921600000,-0.000438668000
0.000125341727,3.543120000000,0.048746000000,0.118123000000,0.008487090000
0.000145341727,3.957350000000,0.088948200000,0.198789000000,0.022178400000
0.000165341727,4.309170000000,0.144312000000,0.305239000000,0.041820100000
0.000185341727,4.593030000000,0.216786000000,0.438706000000,0.068608100000
0.000205341727,4.804450000000,0.307856000000,0.599223000000,0.103692000000
0.000225341727,4.940110000000,0.418456000000,0.785606000000,0.148126000000
0.000245341727,4.997860000000,0.548902000000,0.995511000000,0.202819000000
0.000265341727,4.976790000000,0.698852000000,1.225530000000,0.268495000000
0.000285341727,4.877230000000,0.867295000000,1.471350000000,0.345653000000
0.000305341727,4.700760000000,1.052560000000,1.727870000000,0.434535000000
0.000325341727,4.450150000000,1.252330000000,1.989420000000,0.535100000000
0.000345341727,4.129360000000,1.463720000000,2.249960000000,0.647001000000
0.000365341727,3.743450000000,1.683300000000,2.503190000000,0.769579000000
0.000385341727,3.298500000000,1.907280000000,2.742810000000,0.901852000000
0.000405341727,2.801530000000,2.131250000000,2.962650000000,1.042520000000
0.000425341727,2.260380000000,2.350900000000,3.156840000000,1.189980000000
0.000445341727,1.683580000000,2.561530000000,3.319970000000,1.342340000000
0.000465341727,1.080240000000,2.758430000000,3.447190000000,1.497440000000
0.000485341727,0.459852000000,2.936970000000,3.534320000000,1.652890000000
0.000505341727,-0.167784000000,3.092650000000,3.577960000000,1.806110000000
0.000525341727,-0.792774000000,3.221250000000,3.575580000000,1.954390000000
0.000545341727,-1.405260000000,3.318920000000,3.525490000000,2.094900000000
0.000565341727,-1.995590000000,3.382240000000,3.426970000000,2.224770000000
0.000585341727,-2.554440000000,3.408340000000,3.280210000000,2.341150000000
0.000605341727,-3.073010000000,3.394930000000,3.086320000000,2.441240000000
0.000625341727,-3.543120000000,3.340400000000,2.847330000000,2.522390000000
0.000645341727,-3.957350000000,3.243820000000,2.566110000000,2.582110000000
0.000665341727,-4.309170000000,3.105020000000,2.246350000000,2.618150000000
0.000685341727,-4.593030000000,2.924560000000,1.892460000000,2.628570000000
0.000705341727,-4.804450000000,2.703780000000,1.509500000000,2.611750000000
0.000725341727,-4.940110000000,2.444720000000,1.103110000000,2.566450000000
0.000745341727,-4.997860000000,2.150180000000,0.679367000000,2.491850000000
0.000765341727,-4.976790000000,1.823610000000,0.244694000000,2.387600000000
0.000785341727,-4.877230000000,1.469090000000,-0.194237000000,2.253790000000
0.000805341727,-4.700760000000,1.091270000000,-0.630636000000,2.091010000000
0.000825341727,-4.450150000000,0.695279000000,-1.057710000000,1.900370000000
0.000845341727,-4.129360000000,0.286640000000,-1.468770000000,1.683430000000
0.000865341727,-3.743450000000,-0.128801000000,-1.857360000000,1.442270000000
0.000885341727,-3.298500000000,-0.544985000000,-2.217350000000,1.179390000000
0.000905341727,-2.801530000000,-0.955743000000,-2.543030000000,0.897762000000
0.000925341727,-2.260380000000,-1.354900000000,-2.829260000000,0.600733000000
0.000945341727,-1.683580000000,-1.736360000000,-3.071460000000,0.292005000000
0.000965341727,-1.080240000000,-2.094250000000,-3.265780000000,-0.024418400000
0.000985341727,-0.459852000000,-2.422980000000,-3.409110000000,-0.344293000000
0.001000000000,0.000000000000,-2.642670000000,-3.480510000000,-0.578655000000
