FREQ,Butter_3,Bessel_3,Cheby_3
10.000000000000,-0.000349518000,-0.000614266000,-0.004237760000
12.589254120000,-0.000348452000,-0.000768232000,-0.006507010000
15.848931920000,-0.000346762000,-0.001012260000,-0.010099600000
19.952623150000,-0.000344085000,-0.001399020000,-0.015783800000
25.118864320000,-0.000339841000,-0.002012020000,-0.024768300000
31.622776600000,-0.000333118000,-0.002983640000,-0.038946800000
39.810717060000,-0.000322469000,-0.004523710000,-0.061266500000
50.118723360000,-0.000305624000,-0.006964970000,-0.096265000000
63.095734450000,-0.000279051000,-0.010835200000,-0.150810000000
79.432823470000,-0.000237428000,-0.016971700000,-0.235011000000
100.000000000000,-0.000173428000,-0.026704200000,-0.363103000000
125.892541200000,-0.000079820900,-0.042146200000,-0.553666000000
158.489319200000,0.000037378400,-0.066663500000,-0.827881000000
199.526231500000,0.000099089300,-0.105632000000,-1.203600000000
251.188643200000,-0.000296866000,-0.167682000000,-1.682670000000
316.227766000000,-0.002889090000,-0.266779000000,-2.229680000000
398.107170600000,-0.014799700000,-0.425836000000,-2.739740000000
501.187233600000,-0.064411800000,-0.683253000000,-2.983120000000
630.957344500000,-0.260298000000,-1.105200000000,-2.482970000000
794.328234700000,-0.967929000000,-1.808230000000,-0.520768000000
1000.000000000000,-3.010350000000,-2.992090000000,-3.074170000000
1258.925412000000,-6.981840000000,-4.947390000000,-12.777800000000
1584.893192000000,-12.279900000000,-7.939870000000,-21.044500000000
1995.262315000000,-18.084800000000,-11.987600000000,-28.275800000000
2511.886432000000,-24.034700000000,-16.837200000000,-34.980700000000
3162.277660000000,-30.022200000000,-22.182200000000,-41.399900000000
3981.071706000000,-36.019200000000,-27.806200000000,-47.655600000000
5011.872336000000,-42.018700000000,-33.585400000000,-53.814400000000
6309.573445000000,-48.018800000000,-39.453100000000,-59.915200000000
7943.282347000000,-54.019300000000,-45.372600000000,-65.981400000000
10000.000000000000,-60.020100000000,-51.323400000000,-72.027800000000
12589.254120000000,-66.021500000000,-57.293500000000,-78.064700000000
15848.931920000000,-72.023600000000,-63.276200000000,-84.100200000000
19952.623150000000,-78.026800000000,-69.267200000000,-90.141300000000
25118.864320000000,-84.031800000000,-75.264800000000,-96.195100000000
31622.776600000000,-90.038700000000,-81.268000000000,-102.265000000000
39810.717060000000,-96.045800000000,-87.277300000000,-108.329000000000
50118.723360000000,-102.042000000000,-93.292600000000,-114.258000000000
63095.734450000000,-107.976000000000,-99.309500000000,-119.540000000000
79432.823470000000,-113.649000000000,-105.300000000000,-123.092000000000
100000.000000000000,-118.458000000000,-111.143000000000,-124.549000000000
