TIME,Vin,Bessel_2,butter_2,Cheby_2
0.000000000000,0.000000000000,-0.005002170000,-0.005002240000,-0.005001780000
0.000000355141,0.011156800000,-0.005000340000,-0.005000430000,-0.004998930000
0.000000398757,0.012527000000,-0.005000120000,-0.005000210000,-0.004998910000
0.000001009382,0.031709800000,-0.004999630000,-0.004999730000,-0.004998540000
0.000001512924,0.047528700000,-0.004998350000,-0.004999330000,-0.004998240000
0.000002000740,0.062853500000,-0.004997110000,-0.004997910000,-0.004997480000
0.000002673131,0.083972400000,-0.004993290000,-0.004995950000,-0.004996440000
0.000003501978,0.110005000000,-0.004985210000,-0.004990920000,-0.004993780000
0.000004650191,0.146069000000,-0.004965830000,-0.004978840000,-0.004987430000
0.000006241931,0.196032000000,-0.004918140000,-0.004949020000,-0.004971760000
0.000008404331,0.263907000000,-0.004801890000,-0.004876100000,-0.004933360000
0.000011353364,0.356374000000,-0.004516640000,-0.004696360000,-0.004838320000
0.000015341970,0.481236000000,-0.003824060000,-0.004257190000,-0.004604610000
0.000020760757,0.650370000000,-0.002143140000,-0.003182350000,-0.004027380000
0.000028117931,0.878763000000,0.001904660000,-0.000564728000,-0.002603770000
0.000038155432,1.187240000000,0.011602800000,0.005802350000,0.000919284000
0.000049763746,1.538020000000,0.030149800000,0.018193800000,0.007916120000
0.000061095511,1.872580000000,0.057054600000,0.036478500000,0.018448500000
0.000075626632,2.287480000000,0.105962000000,0.070385200000,0.038448400000
0.000092124604,2.735250000000,0.182711000000,0.124853000000,0.071495700000
0.000111542258,3.224300000000,0.303098000000,0.212594000000,0.126507000000
0.000135368986,3.758210000000,0.494571000000,0.356658000000,0.220529000000
0.000168210786,4.354180000000,0.829314000000,0.619290000000,0.401547000000
0.000201544120,4.770050000000,1.235740000000,0.953468000000,0.646644000000
0.000234877453,4.977450000000,1.684800000000,1.340860000000,0.949673000000
0.000268210786,4.967300000000,2.147370000000,1.761090000000,1.302030000000
0.000301544120,4.740070000000,2.592390000000,2.189920000000,1.690680000000
0.000334877453,4.305670000000,2.989220000000,2.601040000000,2.098750000000
0.000368210786,3.683090000000,3.309730000000,2.967910000000,2.506820000000
0.000401544120,2.899540000000,3.529920000000,3.265460000000,2.893320000000
0.000434877453,1.989270000000,3.631330000000,3.471660000000,3.236400000000
0.000468210786,0.992060000000,3.601850000000,3.568780000000,3.514820000000
0.000501544120,-0.048509200000,3.436300000000,3.544450000000,3.709210000000
0.000534877453,-1.086960000000,3.136580000000,3.392370000000,3.803180000000
0.000568210786,-2.077900000000,2.711500000000,3.112600000000,3.784240000000
0.000601544120,-2.978030000000,2.176200000000,2.711700000000,3.644620000000
0.000634877453,-3.748010000000,1.551430000000,2.202350000000,3.381780000000
0.000668210786,-4.354180000000,0.862481000000,1.602830000000,2.998750000000
0.000701544120,-4.770050000000,0.137969000000,0.936100000000,2.504100000000
0.000734877453,-4.977450000000,-0.591526000000,0.228780000000,1.911760000000
0.000768210786,-4.967300000000,-1.294880000000,-0.490130000000,1.240490000000
0.000801544120,-4.740070000000,-1.941860000000,-1.190590000000,0.513160000000
0.000834877453,-4.305670000000,-2.504520000000,-1.842910000000,-0.244174000000
0.000868210786,-3.683090000000,-2.958450000000,-2.419150000000,-1.003380000000
0.000901544120,-2.899540000000,-3.283890000000,-2.894360000000,-1.735460000000
0.000934877453,-1.989270000000,-3.466650000000,-3.247800000000,-2.411780000000
0.000968210786,-0.992060000000,-3.498710000000,-3.463870000000,-3.005390000000
0.001000000000,0.000306271000,-3.384190000000,-3.529660000000,-3.469630000000
