TIME,Vin,Butter_3,Bessel_3,Cheby_3
0.000000000000,0.000000000000,-0.010003300000,-0.010003000000,-0.010005500000
0.000006012890,0.018889800000,-0.010003100000,-0.010002700000,-0.010005400000
0.000008040962,0.025261100000,-0.010003100000,-0.010002100000,-0.010005400000
0.000010879535,0.034178600000,-0.010002400000,-0.010001300000,-0.010005300000
0.000014702247,0.046187800000,-0.010001400000,-0.009998100000,-0.010004700000
0.000019939825,0.062639900000,-0.009997450000,-0.009987640000,-0.010003900000
0.000027012900,0.084857500000,-0.009984520000,-0.009954310000,-0.010000500000
0.000036662649,0.115169000000,-0.009942200000,-0.009847460000,-0.009988940000
0.000049805251,0.156435000000,-0.009804460000,-0.009509690000,-0.009950330000
0.000067857504,0.213116000000,-0.009355970000,-0.008452590000,-0.009819660000
0.000090218901,0.283252000000,-0.008123870000,-0.005684530000,-0.009443270000
0.000112168409,0.352096000000,-0.005852790000,-0.000810867000,-0.008717590000
0.000140703565,0.441458000000,-0.000650852000,0.009756190000,-0.006962980000
0.000174005594,0.545566000000,0.009708450000,0.029476800000,-0.003237700000
0.000212218580,0.664730000000,0.028808100000,0.063318100000,0.004135030000
0.000260836711,0.815779000000,0.066593200000,0.124810000000,0.020015000000
0.000330112455,1.029660000000,0.150040000000,0.246534000000,0.059275200000
0.000423584020,1.315070000000,0.318512000000,0.462484000000,0.150365000000
0.000572892095,1.761180000000,0.695357000000,0.880268000000,0.392567000000
0.000742229847,2.248180000000,1.216620000000,1.395120000000,0.784892000000
0.000942229847,2.790190000000,1.860650000000,1.995600000000,1.330130000000
0.001142229847,3.288210000000,2.466420000000,2.558800000000,1.879950000000
0.001342229847,3.734370000000,3.005790000000,3.075030000000,2.383450000000
0.001542229847,4.121630000000,3.477920000000,3.540250000000,2.832140000000
0.001742229847,4.443900000000,3.889740000000,3.949730000000,3.241550000000
0.001942229847,4.696080000000,4.244060000000,4.297550000000,3.625650000000
0.002142229847,4.874200000000,4.537230000000,4.577850000000,3.981880000000
0.002342229847,4.975450000000,4.762250000000,4.785840000000,4.292610000000
0.002542229847,4.998240000000,4.912560000000,4.918120000000,4.536520000000
0.002742229847,4.942200000000,4.984180000000,4.972610000000,4.699670000000
0.002942229847,4.808220000000,4.975810000000,4.948500000000,4.779390000000
0.003142229847,4.598410000000,4.888200000000,4.846200000000,4.780780000000
0.003342229847,4.316080000000,4.723310000000,4.667330000000,4.710390000000
0.003542229847,3.965690000000,4.484040000000,4.414690000000,4.571800000000
0.003742229847,3.552750000000,4.174130000000,4.092280000000,4.365250000000
0.003942229847,3.083790000000,3.798340000000,3.705160000000,4.090140000000
0.004142229847,2.566190000000,3.362480000000,3.259460000000,3.748040000000
0.004342229847,2.008120000000,2.873370000000,2.762200000000,3.343950000000
0.004542229847,1.418380000000,2.338750000000,2.221210000000,2.885710000000
0.004742229847,0.806273000000,1.767060000000,1.645040000000,2.382370000000
0.004942229847,0.181450000000,1.167360000000,1.042770000000,1.842750000000
0.005142229847,-0.446234000000,0.549103000000,0.423893000000,1.275090000000
0.005342229847,-1.066880000000,-0.077963500000,-0.201826000000,0.687437000000
0.005542229847,-1.670700000000,-0.703956000000,-0.824519000000,0.088278600000
0.005742229847,-2.248180000000,-1.319010000000,-1.434370000000,-0.513152000000
0.005942229847,-2.790190000000,-1.913420000000,-2.021750000000,-1.107060000000
0.006142229847,-3.288210000000,-2.477810000000,-2.577410000000,-1.683620000000
0.006342229847,-3.734370000000,-3.003280000000,-3.092580000000,-2.233450000000
0.006542229847,-4.121630000000,-3.481550000000,-3.559130000000,-2.747890000000
0.006742229847,-4.443900000000,-3.905070000000,-3.969720000000,-3.219040000000
0.006942229847,-4.696080000000,-4.267160000000,-4.317850000000,-3.639670000000
0.007142229847,-4.874200000000,-4.562120000000,-4.598050000000,-4.003250000000
0.007342229847,-4.975450000000,-4.785280000000,-4.805890000000,-4.303970000000
0.007542229847,-4.998240000000,-4.933140000000,-4.938100000000,-4.536990000000
0.007742229847,-4.942200000000,-5.003350000000,-4.992590000000,-4.698540000000
0.007942229847,-4.808220000000,-4.994820000000,-4.968500000000,-4.786060000000
0.008142229847,-4.598410000000,-4.907670000000,-4.866210000000,-4.798220000000
0.008342229847,-4.316080000000,-4.743280000000,-4.687340000000,-4.734880000000
0.008542229847,-3.965690000000,-4.504250000000,-4.434700000000,-4.597070000000
0.008742229847,-3.552750000000,-4.194340000000,-4.112280000000,-4.386960000000
0.008942229847,-3.083790000000,-3.818440000000,-3.725170000000,-4.107830000000
0.009142229847,-2.566190000000,-3.382480000000,-3.279470000000,-3.764060000000
0.009342229847,-2.008120000000,-2.893330000000,-2.782200000000,-3.361060000000
0.009542229847,-1.418380000000,-2.358720000000,-2.241220000000,-2.905200000000
0.009742229847,-0.806273000000,-1.787060000000,-1.665050000000,-2.403680000000
0.009942229847,-0.181450000000,-1.187370000000,-1.062770000000,-1.864430000000
0.010000000000,0.000000000000,-1.009670000000,-0.884695000000,-1.702280000000
