TIME,Bessel_2,butter_2,Cheby_2,Vin
0.0002584297588,0.228426,0.228068,0.22661,-2.52619
0.0002617630922,0.236356,0.233607,0.231004,-3.3681
0.0002650964255,0.241508,0.237474,0.23456,-4.06282
0.0002684297588,0.243538,0.239426,0.237134,-4.57996
0.0002717630922,0.242237,0.239301,0.238624,-4.89695
0.0002750964255,0.237545,0.237027,0.238973,-4.99991
0.0002784297588,0.229546,0.232627,0.238172,-4.88435
0.0002817630922,0.218474,0.22621,0.23626,-4.55532
0.0002850964255,0.204693,0.217977,0.23332,-4.02721
0.0002884297588,0.188688,0.208205,0.229482,-3.32308
0.0002917630922,0.171041,0.197237,0.22491,-2.47372
0.0002950964255,0.152408,0.185468,0.219798,-1.51625
0.0002984297588,0.133487,0.173326,0.214364,-0.492506
0.0003017630922,0.114989,0.161255,0.208835,0.55276
0.0003050964255,0.097609,0.149696,0.203442,1.57387
0.0003084297588,0.0819916,0.139064,0.198408,2.52619
0.0003117630922,0.0687067,0.129736,0.193937,3.3681
0.0003150964255,0.0582229,0.122029,0.190208,4.06282
0.0003184297588,0.050887,0.11619,0.187364,4.57996
0.0003217630922,0.0469093,0.112383,0.185509,4.89695
0.0003250964255,0.046354,0.110683,0.184702,4.99991
0.0003284297588,0.0491371,0.111071,0.184952,4.88435
0.0003317630922,0.0550294,0.11344,0.186222,4.55532
0.0003350964255,0.0636671,0.117592,0.188429,4.02721
0.0003384297588,0.0745674,0.123253,0.191446,3.32308
0.0003417630922,0.0871495,0.130082,0.195109,2.47372
0.0003450964255,0.10076,0.137687,0.199225,1.51625
0.0003484297588,0.114704,0.145643,0.203583,0.492506
0.0003517630922,0.128268,0.153507,0.207942,-0.55276
0.0003550964255,0.140763,0.160843,0.212086,-1.57387
0.0003584297588,0.151542,0.167235,0.215791,-2.52619
0.0003617630922,0.160038,0.172311,0.218851,-3.3681
0.0003650964255,0.165783,0.175755,0.221091,-4.06282
0.0003684297588,0.168431,0.177322,0.222367,-4.57996
0.0003717630922,0.167773,0.176851,0.222578,-4.89695
0.0003750964255,0.163746,0.174269,0.221666,-4.99991
0.0003784297588,0.156434,0.169595,0.219622,-4.88435
0.0003817630922,0.146068,0.16294,0.216485,-4.55532
0.0003850964255,0.133012,0.154504,0.21234,-4.02721
0.0003884297588,0.117748,0.144562,0.207314,-3.32308
0.0003917630922,0.100859,0.133456,0.201573,-2.47372
0.0003950964255,0.0829984,0.12158,0.195311,-1.51625
0.0003984297588,0.0648624,0.109363,0.188745,-0.492506
0.0004017630922,0.047162,0.0972465,0.182104,0.55276
0.0004050964255,0.03059,0.0856703,0.175617,1.57387
0.0004084297588,0.0157911,0.0750501,0.169508,2.52619
0.0004117630922,0.00333374,0.0657608,0.163981,3.3681
0.0004150964255,-0.00631457,0.0581193,0.159215,4.06282
0.0004184297588,-0.0128079,0.0523712,0.155353,4.57996
0.0004217630922,-0.0159369,0.0486799,0.152498,4.89695
0.0004250964255,-0.0156381,0.0471195,0.15071,4.99991
0.0004284297588,-0.0119965,0.0476716,0.149999,4.88435
0.0004317630922,-0.00524188,0.050226,0.150326,4.55532
0.0004350964255,0.00426098,0.0545857,0.151609,4.02721
0.0004384297588,0.0160285,0.0604756,0.153721,3.32308
0.0004417630922,0.0294795,0.0675541,0.156498,2.47372
0.0004450964255,0.0439602,0.0754287,0.159747,1.51625
0.0004484297588,0.0587731,0.0836725,0.163266,0.492506
0.0004517630922,0.0732074,0.0918435,0.166786,-0.55276
0.0004550964255,0.0865702,0.0995033,0.17012,-1.57387
0.0004584297588,0.0982162,0.106237,0.173032,-2.52619
0.0004617630922,0.107577,0.11167,0.17532,-3.3681
0.0004650964255,0.114184,0.115488,0.176805,-4.06282
0.0004684297588,0.117691,0.117444,0.177346,-4.57996
0.0004717630922,0.117889,0.117376,0.176839,-4.89695
0.0004750964255,0.114714,0.11521,0.175228,-4.99991
0.0004784297588,0.108249,0.110967,0.172504,-4.88435
0.0004817630922,0.0987252,0.104756,0.168705,-4.55532
0.0004850964255,0.086506,0.0967745,0.163916,-4.02721
0.0004884297588,0.0720745,0.0872992,0.158266,-3.32308
0.0004917630922,0.0560117,0.0766716,0.151918,-2.47372
0.0004950964255,0.0389705,0.0652849,0.145067,-1.51625
0.0004984297588,0.021648,0.0535662,0.137931,-0.492506
0.0005017630922,0.00475441,0.0419581,0.130737,0.55276
0.0005050964255,-0.0110178,0.0308992,0.123716,1.57387
0.0005084297588,-0.0250241,0.020805,0.117089,2.52619
0.0005117630922,-0.0366962,0.0120497,0.111063,3.3681
0.0005150964255,-0.0455669,0.00494991,0.105815,4.06282
0.0005184297588,-0.0512904,-0.000249317,0.101489,4.57996
0.0005217630922,-0.0536577,-0.00338502,0.0981887,4.89695
0.0005250964255,-0.0526053,-0.00438354,0.0959715,4.99991
0.0005284297588,-0.0482183,-0.00326374,0.0948482,4.88435
0.0005317630922,-0.0407269,-0.000136172,0.0947813,4.55532
0.0005350964255,-0.0304958,0.00480177,0.0956869,4.02721
0.0005384297588,-0.0180087,0.0112745,0.0974382,3.32308
0.0005417630922,-0.00384706,0.0189401,0.0998715,2.47372
0.0005450964255,0.0113354,0.0274056,0.102793,1.51625
0.0005484297588,0.0268411,0.0362439,0.105987,0.492506
0.0005517630922,0.0419592,0.0450125,0.109227,-0.55276
0.0005550964255,0.0559965,0.0532728,0.112284,-1.57387
0.0005584297588,0.068308,0.0606093,0.114935,-2.52619
0.0005617630922,0.0783246,0.0666479,0.116977,-3.3681
0.0005650964255,0.0855786,0.0710719,0.118233,-4.06282
0.0005684297588,0.0897235,0.0736361,0.11856,-4.57996
0.0005717630922,0.0905497,0.0741776,0.117856,-4.89695
0.0005750964255,0.087993,0.0726227,0.116063,-4.99991
0.0005784297588,0.0821382,0.0689901,0.113172,-4.88435
0.0005817630922,0.0732145,0.0633903,0.109221,-4.55532
0.0005850964255,0.0615861,0.0560206,0.104296,-4.02721
0.0005884297588,0.0477362,0.0471564,0.0985242,-3.32308
0.0005917630922,0.0322455,0.0371395,0.0920698,-2.47372
0.0005950964255,0.0157672,0.0263626,0.0851278,-1.51625
0.0005984297588,-0.00100165,0.0152529,0.0779143,-0.492506
0.0006017630922,-0.0173509,0.0042525,0.0706575,0.55276
0.0006050964255,-0.0325878,-0.00620011,0.0635877,1.57387
0.0006084297588,-0.0460681,-0.0156897,0.0569273,2.52619
0.0006117630922,-0.0572233,-0.0238422,0.0508807,3.3681
0.0006150964255,-0.0655861,-0.0303413,0.0456262,4.06282
0.0006184297588,-0.0708107,-0.0349421,0.0413074,4.57996
0.0006217630922,-0.072688,-0.0374819,0.0380274,4.89695
0.0006250964255,-0.0711545,-0.0378871,0.0358441,4.99991
0.0006284297588,-0.0662953,-0.0361768,0.0347679,4.88435
0.0006317630922,-0.0583404,-0.0324618,0.0347612,4.55532
0.0006350964255,-0.0476544,-0.0269395,0.0357397,4.02721
0.0006384297588,-0.0347211,-0.0198859,0.0375766,3.32308
0.0006417630922,-0.0201216,-0.0116427,0.0401081,2.47372
0.0006450964255,-0.00450984,-0.00260334,0.0431401,1.51625
0.0006484297588,0.0114169,0.00680507,0.0464573,0.492506
0.0006517630922,0.0269476,0.0161398,0.0498321,-0.55276
0.0006550964255,0.0413895,0.0249623,0.053035,-1.57387
0.0006584297588,0.0540974,0.0328568,0.0558444,-2.52619
0.0006617630922,0.0645024,0.039449,0.0580563,-3.3681
0.0006650964255,0.0721369,0.0444223,0.0594934,-4.06282
0.0006684297588,0.0766546,0.0475314,0.0600126,-4.57996
0.0006717630922,0.0778457,0.0486131,0.0595115,-4.89695
0.0006750964255,0.0756465,0.0475936,0.0579327,-4.99991
0.0006784297588,0.0701414,0.0444917,0.0552666,-4.88435
0.0006817630922,0.0615601,0.0394177,0.0515515,-4.55532
0.0006850964255,0.0502667,0.0325688,0.046872,-4.02721
0.0006884297588,0.0367446,0.0242204,0.0413556,-3.32308
0.0006917630922,0.0215746,0.0147141,0.0351669,-2.47372
0.0006950964255,0.00540994,0.00444265,0.0285003,-1.51625
0.0006984297588,-0.0110523,-0.00616697,0.0215719,-0.492506
0.0007017630922,-0.0271016,-0.0166725,0.0146097,0.55276
0.0007050964255,-0.0420455,-0.0266357,0.00784367,1.57387
0.0007084297588,-0.0552394,-0.0356413,0.00149607,2.52619
0.0007117630922,-0.0661146,-0.0433153,-0.00422868,3.3681
0.0007150964255,-0.074204,-0.0493415,-0.00915268,4.06282
0.0007184297588,-0.0791615,-0.0534749,-0.0131324,4.57996
0.0007217630922,-0.0807779,-0.055553,-0.016065,4.89695
0.0007250964255,-0.0789897,-0.0555021,-0.0178925,4.99991
0.0007284297588,-0.0738818,-0.0533414,-0.018605,4.88435
0.0007317630922,-0.0656841,-0.0491817,-0.0182401,4.55532
0.0007350964255,-0.0547612,-0.0432205,-0.0168823,4.02721
0.0007384297588,-0.0415966,-0.0357337,-0.0146585,3.32308
0.0007417630922,-0.0267717,-0.0270632,-0.0117329,2.47372
0.0007450964255,-0.0109399,-0.0176022,-0.00829957,1.51625
0.0007484297588,0.00520134,-0.00777801,-0.00457409,0.492506
0.0007517630922,0.0209413,0.00196671,-0.000784125,-0.55276
0.0007550964255,0.0355871,0.0111933,0.0028406,-1.57387
0.0007584297588,0.0484937,0.0194861,0.00607831,-2.52619
0.0007617630922,0.0590925,0.0264707,0.00872485,-3.3681
0.0007650964255,0.0669158,0.0318306,0.0106027,-4.06282
0.0007684297588,0.0716173,0.0353204,0.0115686,-4.57996
0.0007717630922,0.0729875,0.0367771,0.01152,-4.89695
0.0007750964255,0.0709626,0.0361268,0.0103995,-4.99991
0.0007784297588,0.0656273,0.0333882,0.00819696,-4.88435
0.0007817630922,0.0572112,0.0286717,0.00495073,-4.55532
0.0007850964255,0.0460787,0.0221745,0.000745322,-4.02721
0.0007884297588,0.0327131,0.014172,-0.00429202,-3.32308
